NUTS_ID,CNTR_CODE,NUTS_NAME,NAME_LATN
CH066,CH,Zug,Zug
CH07,CH,Ticino,Ticino
CH070,CH,Ticino,Ticino
CY,CY,Κύπρος,Kýpros
CY0,CY,Κύπρος,Kýpros
CY00,CY,Κύπρος,Kýpros
CY000,CY,Κύπρος,Kýpros
CZ,CZ,Česká Republika,Česká Republika
CZ0,CZ,Česká Republika,Česká Republika
CZ01,CZ,Praha,Praha
CZ010,CZ,Hlavní město Praha,Hlavní město Praha
CZ02,CZ,Střední Čechy,Střední Čechy
CZ020,CZ,Středočeský kraj,Středočeský kraj
CZ03,CZ,Jihozápad,Jihozápad
CZ031,CZ,Jihočeský kraj,Jihočeský kraj
CZ032,CZ,Plzeňský kraj,Plzeňský kraj
CZ04,CZ,Severozápad,Severozápad
CZ041,CZ,Karlovarský kraj,Karlovarský kraj
CZ042,CZ,Ústecký kraj,Ústecký kraj
CZ05,CZ,Severovýchod,Severovýchod
CZ051,CZ,Liberecký kraj,Liberecký kraj
CZ052,CZ,Královéhradecký kraj,Královéhradecký kraj
CZ053,CZ,Pardubický kraj,Pardubický kraj
CZ06,CZ,Jihovýchod,Jihovýchod
CZ063,CZ,Vysočina,Vysočina
CZ064,CZ,Jihomoravský kraj,Jihomoravský kraj
CZ07,CZ,Střední Morava,Střední Morava
CZ071,CZ,Olomoucký kraj,Olomoucký kraj
CZ072,CZ,Zlínský kraj,Zlínský kraj
CZ08,CZ,Moravskoslezsko,Moravskoslezsko
CZ080,CZ,Moravskoslezský kraj,Moravskoslezský kraj
DE,DE,Deutschland,Deutschland
DE1,DE,Baden-Württemberg,Baden-Württemberg
DE11,DE,Stuttgart,Stuttgart
DE111,DE,"Stuttgart, Stadtkreis","Stuttgart, Stadtkreis"
DE112,DE,Böblingen,Böblingen
DE113,DE,Esslingen,Esslingen
DE114,DE,Göppingen,Göppingen
DE115,DE,Ludwigsburg,Ludwigsburg
DE116,DE,Rems-Murr-Kreis,Rems-Murr-Kreis
DE117,DE,"Heilbronn, Stadtkreis","Heilbronn, Stadtkreis"
DE118,DE,"Heilbronn, Landkreis","Heilbronn, Landkreis"
DE119,DE,Hohenlohekreis,Hohenlohekreis
DE11A,DE,Schwäbisch Hall,Schwäbisch Hall
DE11B,DE,Main-Tauber-Kreis,Main-Tauber-Kreis
DE11C,DE,Heidenheim,Heidenheim
DE11D,DE,Ostalbkreis,Ostalbkreis
DE12,DE,Karlsruhe,Karlsruhe
DE121,DE,"Baden-Baden, Stadtkreis","Baden-Baden, Stadtkreis"
DE122,DE,"Karlsruhe, Stadtkreis","Karlsruhe, Stadtkreis"
DE123,DE,"Karlsruhe, Landkreis","Karlsruhe, Landkreis"
DE124,DE,Rastatt,Rastatt
DE125,DE,"Heidelberg, Stadtkreis","Heidelberg, Stadtkreis"
DE126,DE,"Mannheim, Stadtkreis","Mannheim, Stadtkreis"
DE127,DE,Neckar-Odenwald-Kreis,Neckar-Odenwald-Kreis
DE128,DE,Rhein-Neckar-Kreis,Rhein-Neckar-Kreis
DE129,DE,"Pforzheim, Stadtkreis","Pforzheim, Stadtkreis"
DE12A,DE,Calw,Calw
DE12B,DE,Enzkreis,Enzkreis
DE12C,DE,Freudenstadt,Freudenstadt
DE13,DE,Freiburg,Freiburg
DE131,DE,"Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis"
DE132,DE,Breisgau-Hochschwarzwald,Breisgau-Hochschwarzwald
DE133,DE,Emmendingen,Emmendingen
DE134,DE,Ortenaukreis,Ortenaukreis
DE135,DE,Rottweil,Rottweil
DE136,DE,Schwarzwald-Baar-Kreis,Schwarzwald-Baar-Kreis
DE137,DE,Tuttlingen,Tuttlingen
DE138,DE,Konstanz,Konstanz
DE139,DE,Lörrach,Lörrach
DE13A,DE,Waldshut,Waldshut
DE14,DE,Tübingen,Tübingen
DE141,DE,Reutlingen,Reutlingen
DE142,DE,"Tübingen, Landkreis","Tübingen, Landkreis"
DE143,DE,Zollernalbkreis,Zollernalbkreis
DE144,DE,"Ulm, Stadtkreis","Ulm, Stadtkreis"
DE145,DE,Alb-Donau-Kreis,Alb-Donau-Kreis
DE146,DE,Biberach,Biberach
DE147,DE,Bodenseekreis,Bodenseekreis
DE148,DE,Ravensburg,Ravensburg
DE149,DE,Sigmaringen,Sigmaringen
DE2,DE,Bayern,Bayern
DE21,DE,Oberbayern,Oberbayern
DE211,DE,"Ingolstadt, Kreisfreie Stadt","Ingolstadt, Kreisfreie Stadt"
DE212,DE,"München, Kreisfreie Stadt","München, Kreisfreie Stadt"
