NUTS_ID,CNTR_CODE,NUTS_NAME
DE943,DE,"Oldenburg (Oldenburg), Kreisfreie Stadt"
DE944,DE,"Osnabrück, Kreisfreie Stadt"
DE945,DE,"Wilhelmshaven, Kreisfreie Stadt"
DE946,DE,Ammerland
DE947,DE,Aurich
DE948,DE,Cloppenburg
DE949,DE,Emsland
DE94B,DE,Grafschaft Bentheim
DE94C,DE,Leer
DE94D,DE,"Oldenburg, Landkreis"
DE94E,DE,"Osnabrück, Landkreis"
DE94F,DE,Vechta
DE94G,DE,Wesermarsch
DE94H,DE,Wittmund
DEA,DE,Nordrhein-Westfalen
DEA11,DE,"Düsseldorf, Kreisfreie Stadt"
DEA12,DE,"Duisburg, Kreisfreie Stadt"
DEA13,DE,"Essen, Kreisfreie Stadt"
DEA14,DE,"Krefeld, Kreisfreie Stadt"
DEA15,DE,"Mönchengladbach, Kreisfreie Stadt"
DEA16,DE,"Mülheim an der Ruhr, Kreisfreie Stadt"
DEA17,DE,"Oberhausen, Kreisfreie Stadt"
DEA18,DE,"Remscheid, Kreisfreie Stadt"
DEA19,DE,"Solingen, Kreisfreie Stadt"
DEA1A,DE,"Wuppertal, Kreisfreie Stadt"
DEA1B,DE,Kleve
DEA1D,DE,Neuss
DEA1E,DE,Viersen
DEA1F,DE,Wesel
DEA2,DE,Köln
DEA21,DE,"Aachen, Kreisfreie Stadt"
DEA22,DE,"Bonn, Kreisfreie Stadt"
DEA23,DE,"Köln, Kreisfreie Stadt"
DEA24,DE,"Leverkusen, Kreisfreie Stadt"
DEA25,DE,"Aachen, Kreis"
DEA26,DE,Düren
DEA28,DE,Euskirchen
DEA29,DE,Heinsberg
DEA2A,DE,Oberbergischer Kreis
DEA2B,DE,Rheinisch-Bergischer Kreis
DEA2C,DE,Rhein-Sieg-Kreis
DEA3,DE,Münster
DEA31,DE,"Bottrop, Kreisfreie Stadt"
DEA32,DE,"Gelsenkirchen, Kreisfreie Stadt"
DEA34,DE,Borken
DEA35,DE,Coesfeld
DEA36,DE,Recklinghausen
DEA37,DE,Steinfurt
DEA38,DE,Warendorf
DEA4,DE,Detmold
DEA41,DE,"Bielefeld, Kreisfreie Stadt"
DEA42,DE,Gütersloh
DEA43,DE,Herford
DEA44,DE,Höxter
DEA45,DE,Lippe
DEA46,DE,Minden-Lübbecke
DEA47,DE,Paderborn
DEA5,DE,Arnsberg
DEA51,DE,"Bochum, Kreisfreie Stadt"
DEA52,DE,"Dortmund, Kreisfreie Stadt"
DEA53,DE,"Hagen, Kreisfreie Stadt"
DE21H,DE,"München, Landkreis"
DE21I,DE,Neuburg-Schrobenhausen
DE21J,DE,Pfaffenhofen a. d. Ilm
DE21K,DE,"Rosenheim, Landkreis"
DE21L,DE,Starnberg
DE21M,DE,Traunstein
DE21N,DE,Weilheim-Schongau
DE22,DE,Niederbayern
DE222,DE,"Passau, Kreisfreie Stadt"
DE223,DE,"Straubing, Kreisfreie Stadt"
DE224,DE,Deggendorf
DE225,DE,Freyung-Grafenau
DE226,DE,Kelheim
DE227,DE,"Landshut, Landkreis"
DE228,DE,"Passau, Landkreis"
DE229,DE,Regen
DE22A,DE,Rottal-Inn
DE22B,DE,Straubing-Bogen
DE22C,DE,Dingolfing-Landau
DE23,DE,Oberpfalz
DE231,DE,"Amberg, Kreisfreie Stadt"
DE232,DE,"Regensburg, Kreisfreie Stadt"
DE233,DE,"Weiden i. d. OPf.,Kreisfreie Stadt"
DE234,DE,Amberg-Sulzbach
DE235,DE,Cham
