year,nuts_id,nuts_year_spec,fukag
2010,UKC1,2010,4
2010,UKC2,2010,54
2010,UKD1,2010,9
2010,UKD3,2010,22
2010,UKD4,2010,34
2010,UKD6,2010,20
2010,UKD7,2010,38
2010,UKE1,2010,12
2010,UKE2,2010,61
2010,UKE3,2010,59
2010,UKE4,2010,52
2010,UKF1,2010,95
2010,UKF2,2010,38
2010,UKF3,2010,49
2010,UKG1,2010,69
2010,UKG2,2010,84
2010,UKG3,2010,83
2010,UKH1,2010,41
2010,UKH2,2010,96
2010,UKH3,2010,0
2010,UKI1,2010,25
2010,UKI2,2010,9
2010,UKJ1,2010,74
2010,UKJ2,2010,39
2010,UKJ3,2010,13
2010,UKJ4,2010,57
2010,UKK1,2010,85
2010,UKK2,2010,47
2010,UKK3,2010,71
2010,UKK4,2010,59
2010,UKL1,2010,32
2010,UKL2,2010,73
2010,UKM2,2010,24
2010,UKM3,2010,65
2010,UKM5,2010,91
2010,UKM6,2010,31
2010,UKN0,2010,63
2011,UKC1,2010,83
2011,UKC2,2010,62
2011,UKD1,2010,65
2011,UKD3,2010,40
2011,UKD4,2010,30
2011,UKD6,2010,40
2011,UKD7,2010,59
2011,UKE1,2010,51
2011,UKE2,2010,89
2011,UKE3,2010,30
2011,UKE4,2010,84
2011,UKF1,2010,93
2011,UKF2,2010,4
2011,UKF3,2010,44
2011,UKG1,2010,39
2011,UKG2,2010,93
2011,UKG3,2010,81
2011,UKH1,2010,3
2011,UKH2,2010,9
2011,UKH3,2010,88
2011,UKI1,2010,19
2011,UKI2,2010,24
2011,UKJ1,2010,97
2011,UKJ2,2010,87
2011,UKJ3,2010,64
2011,UKJ4,2010,0
2011,UKK1,2010,87
2011,UKK2,2010,70
2011,UKK3,2010,9
2011,UKK4,2010,83
2011,UKL1,2010,15
2011,UKL2,2010,59
2011,UKM2,2010,99
2011,UKM3,2010,51
2011,UKM5,2010,40
2011,UKM6,2010,59
2011,UKN0,2010,10
2012,UKC1,2010,97
2012,UKC2,2010,61
2012,UKD1,2010,61
2012,UKD3,2010,92
2012,UKD4,2010,52
2012,UKD6,2010,77
2012,UKD7,2010,68
2012,UKE1,2010,21
2012,UKE2,2010,74
2012,UKE3,2010,29
2012,UKE4,2010,9
2012,UKF1,2010,90
2012,UKF2,2010,77
2012,UKF3,2010,9
2012,UKG1,2010,73
2012,UKG2,2010,70
2012,UKG3,2010,91
2012,UKH1,2010,76
2012,UKH2,2010,3
2012,UKH3,2010,16
2012,UKI1,2010,66
2012,UKI2,2010,20
2012,UKJ1,2010,44
2012,UKJ2,2010,96
2012,UKJ3,2010,45
2012,UKJ4,2010,85
2012,UKK1,2010,51
2012,UKK2,2010,38
2012,UKK3,2010,7
2012,UKK4,2010,40
2012,UKL1,2010,100
2012,UKL2,2010,46
2012,UKM2,2010,73
2012,UKM3,2010,50
2012,UKM5,2010,70
2012,UKM6,2010,6
2012,UKN0,2010,44
2013,UKC1,2013,73
2013,UKC2,2013,60
2013,UKD1,2013,64
2013,UKD3,2013,30
2013,UKD4,2013,61
2013,UKD6,2013,31
2013,UKD7,2013,43
2013,UKE1,2013,32
2013,UKE2,2013,23
2013,UKE3,2013,44
2013,UKE4,2013,60
2013,UKF1,2013,91
2013,UKF2,2013,69
2013,UKF3,2013,96
2013,UKG1,2013,40
2013,UKG2,2013,63
2013,UKG3,2013,8
2013,UKH1,2013,90
2013,UKH2,2013,55
2013,UKH3,2013,12
2013,UKI3,2013,4
2013,UKI4,2013,36
2013,UKI5,2013,11
2013,UKI6,2013,36
2013,UKI7,2013,47
2013,UKJ1,2013,67
2013,UKJ2,2013,23
2013,UKJ3,2013,24
2013,UKJ4,2013,38
2013,UKK1,2013,65
2013,UKK2,2013,86
2013,UKK3,2013,16
2013,UKK4,2013,33
2013,UKL1,2013,27
2013,UKL2,2013,30
2013,UKM2,2013,99
2013,UKM3,2013,24
2013,UKM5,2013,27
2013,UKM6,2013,78
2013,UKN0,2013,11
2014,UKC1,2013,86
2014,UKC2,2013,68
2014,UKD1,2013,76
2014,UKD3,2013,28
2014,UKD4,2013,47
2014,UKD6,2013,96
2014,UKD7,2013,25
2014,UKE1,2013,65
2014,UKE2,2013,91
2014,UKE3,2013,34
2014,UKE4,2013,43
2014,UKF1,2013,77
2014,UKF2,2013,93
2014,UKF3,2013,85
2014,UKG1,2013,11
2014,UKG2,2013,100
2014,UKG3,2013,21
2014,UKH1,2013,23
2014,UKH2,2013,38
2014,UKH3,2013,4
2014,UKI3,2013,37
2014,UKI4,2013,16
2014,UKI5,2013,26
2014,UKI6,2013,37
2014,UKI7,2013,7
2014,UKJ1,2013,91
2014,UKJ2,2013,53
2014,UKJ3,2013,3
2014,UKJ4,2013,27
2014,UKK1,2013,71
2014,UKK2,2013,33
2014,UKK3,2013,22
2014,UKK4,2013,95
2014,UKL1,2013,64
2014,UKL2,2013,97
2014,UKM2,2013,21
2014,UKM3,2013,82
2014,UKM5,2013,77
2014,UKM6,2013,35
2014,UKN0,2013,7
