year,region_type,region_year_spec,region_id,region_level,sopim
2011,NUTS,2010,AT,0,3943345
2011,NUTS,2010,BE,0,3935124
2011,NUTS,2010,BG,0,870312
2011,NUTS,2010,CH,0,2372350
2011,NUTS,2010,CY,0,2193251
2011,NUTS,2010,CZ,0,2608994
2011,NUTS,2010,DE,0,9302847
2011,NUTS,2010,DK,0,6142538
2011,NUTS,2010,EE,0,7373347
2011,NUTS,2010,EL,0,7158461
2011,NUTS,2010,ES,0,3098678
2011,NUTS,2010,FI,0,4616432
2011,NUTS,2010,FR,0,2702995
2011,NUTS,2010,HR,0,4131668
2011,NUTS,2010,HU,0,9254498
2011,NUTS,2010,IE,0,6263157
2011,NUTS,2010,IS,0,4755619
2011,NUTS,2010,IT,0,3982988
2011,NUTS,2010,LI,0,9141800
2011,NUTS,2010,LT,0,9939963
2011,NUTS,2010,LU,0,1387676
2011,NUTS,2010,LV,0,2844172
2011,NUTS,2010,ME,0,6001319
2011,NUTS,2010,MK,0,6275447
2011,NUTS,2010,MT,0,2572226
2011,NUTS,2010,NL,0,1633400
2011,NUTS,2010,NO,0,9651316
2011,NUTS,2010,PL,0,1711494
2011,NUTS,2010,PT,0,347181
2011,NUTS,2010,RO,0,1071457
2011,NUTS,2010,SE,0,5977467
2011,NUTS,2010,SI,0,1885317
2011,NUTS,2010,SK,0,7522059
2011,NUTS,2010,TR,0,464374
2011,NUTS,2010,UK,0,6385419
2011,NUTS,2010,AT1,1,2753075
2011,NUTS,2010,AT2,1,3882973
2011,NUTS,2010,AT3,1,8532496
2011,NUTS,2010,BE1,1,1309589
2011,NUTS,2010,BE2,1,8345751
2011,NUTS,2010,BE3,1,2654419
2011,NUTS,2010,BG3,1,2751548
2011,NUTS,2010,BG4,1,3693973
2011,NUTS,2010,CH0,1,5467005
2011,NUTS,2010,CY0,1,5332569
2011,NUTS,2010,CZ0,1,632598
2011,NUTS,2010,DE1,1,6913427
2011,NUTS,2010,DE2,1,5017698
2011,NUTS,2010,DE3,1,1687336
2011,NUTS,2010,DE4,1,42720
2011,NUTS,2010,DE5,1,8529022
2011,NUTS,2010,DE6,1,2485229
2011,NUTS,2010,DE7,1,1167402
2011,NUTS,2010,DE8,1,3512215
2011,NUTS,2010,DE9,1,9009757
