year,region_type,region_year_spec,region_id,region_level,ukfin
2008,NUTS,2006,AT,0,4102
2008,NUTS,2006,BE,0,3557
2008,NUTS,2006,BG,0,7276
2008,NUTS,2006,CH,0,6139
2008,NUTS,2006,CY,0,7011
2008,NUTS,2006,CZ,0,974
2008,NUTS,2006,DE,0,7092
2008,NUTS,2006,DK,0,5543
2008,NUTS,2006,EE,0,9593
2008,NUTS,2006,ES,0,7646
2008,NUTS,2006,FI,0,7313
2008,NUTS,2006,FR,0,2169
2008,NUTS,2006,GR,0,5814
2008,NUTS,2006,HR,0,1725
2008,NUTS,2006,HU,0,5466
2008,NUTS,2006,IE,0,7886
2008,NUTS,2006,IS,0,4121
2008,NUTS,2006,IT,0,4818
2008,NUTS,2006,LI,0,7850
2008,NUTS,2006,LT,0,3714
2008,NUTS,2006,LU,0,3429
2008,NUTS,2006,LV,0,8010
2008,NUTS,2006,ME,0,6896
2008,NUTS,2006,MK,0,7245
2008,NUTS,2006,MT,0,5341
2008,NUTS,2006,NL,0,3104
2008,NUTS,2006,NO,0,7681
2008,NUTS,2006,PL,0,2878
2008,NUTS,2006,PT,0,8196
2008,NUTS,2006,RO,0,7421
2008,NUTS,2006,SE,0,8008
2008,NUTS,2006,SI,0,7751
2008,NUTS,2006,SK,0,7653
2008,NUTS,2006,TR,0,2995
2008,NUTS,2006,UK,0,5186
2008,NUTS,2006,AT1,1,7046
2008,NUTS,2006,AT2,1,5999
2008,NUTS,2006,AT3,1,6263
2008,NUTS,2006,BE1,1,1946
2008,NUTS,2006,BE2,1,9821
2008,NUTS,2006,BE3,1,2077
2008,NUTS,2006,BG3,1,2315
2008,NUTS,2006,BG4,1,8911
2008,NUTS,2006,CH0,1,9128
2008,NUTS,2006,CY0,1,2268
2008,NUTS,2006,CZ0,1,9646
2008,NUTS,2006,DE1,1,9970
2008,NUTS,2006,DE2,1,5827
2008,NUTS,2006,DE3,1,1006
2008,NUTS,2006,DE4,1,404
2008,NUTS,2006,DE5,1,6239
2008,NUTS,2006,DE6,1,7708
2008,NUTS,2006,DE7,1,7036
2008,NUTS,2006,DE8,1,9655
2008,NUTS,2006,DE9,1,8936
2008,NUTS,2006,DEA,1,4086
2008,NUTS,2006,DEB,1,9806
2008,NUTS,2006,DEC,1,4343
2008,NUTS,2006,DED,1,3536
2008,NUTS,2006,DEE,1,1666
2008,NUTS,2006,DEF,1,8277
2008,NUTS,2006,DEG,1,4987
2008,NUTS,2006,DK0,1,2507
2008,NUTS,2006,EE0,1,6986
2008,NUTS,2006,ES1,1,1508
2008,NUTS,2006,ES2,1,6692
2008,NUTS,2006,ES3,1,7269
2008,NUTS,2006,ES4,1,1794
2008,NUTS,2006,ES5,1,6437
2008,NUTS,2006,ES6,1,8001
