year,region_type,region_year_spec,region_id,region_level,jokaw
2006,NUTS,2006,AT,0,693
2006,NUTS,2006,BE,0,747
2006,NUTS,2006,BG,0,744
2006,NUTS,2006,CH,0,192
2006,NUTS,2006,CY,0,454
2006,NUTS,2006,CZ,0,229
2006,NUTS,2006,DE,0,265
2006,NUTS,2006,DK,0,372
2006,NUTS,2006,EE,0,717
2006,NUTS,2006,ES,0,296
2006,NUTS,2006,FI,0,949
2006,NUTS,2006,FR,0,956
2006,NUTS,2006,GR,0,621
2006,NUTS,2006,HR,0,95
2006,NUTS,2006,HU,0,956
2006,NUTS,2006,IE,0,542
2006,NUTS,2006,IS,0,712
2006,NUTS,2006,IT,0,229
2006,NUTS,2006,LI,0,853
2006,NUTS,2006,LT,0,884
2006,NUTS,2006,LU,0,36
2006,NUTS,2006,LV,0,857
2006,NUTS,2006,ME,0,517
2006,NUTS,2006,MK,0,57
2006,NUTS,2006,MT,0,545
2006,NUTS,2006,NL,0,139
2006,NUTS,2006,NO,0,748
2006,NUTS,2006,PL,0,708
2006,NUTS,2006,PT,0,933
2006,NUTS,2006,RO,0,797
2006,NUTS,2006,SE,0,965
2006,NUTS,2006,SI,0,901
2006,NUTS,2006,SK,0,929
2006,NUTS,2006,TR,0,757
2006,NUTS,2006,UK,0,867
2006,NUTS,2006,AT1,1,287
2006,NUTS,2006,AT2,1,734
2006,NUTS,2006,AT3,1,695
2006,NUTS,2006,BE1,1,781
2006,NUTS,2006,BE2,1,151
2006,NUTS,2006,BE3,1,245
2006,NUTS,2006,BG3,1,77
2006,NUTS,2006,BG4,1,487
2006,NUTS,2006,CH0,1,972
2006,NUTS,2006,CY0,1,187
2006,NUTS,2006,CZ0,1,72
2006,NUTS,2006,DE1,1,788
2006,NUTS,2006,DE2,1,818
2006,NUTS,2006,DE3,1,595
2006,NUTS,2006,DE4,1,262
2006,NUTS,2006,DE5,1,721
2006,NUTS,2006,DE6,1,88
2006,NUTS,2006,DE7,1,198
2006,NUTS,2006,DE8,1,35
2006,NUTS,2006,DE9,1,999
2006,NUTS,2006,DEA,1,428
2006,NUTS,2006,DEB,1,139
2006,NUTS,2006,DEC,1,754
2006,NUTS,2006,DED,1,936
2006,NUTS,2006,DEE,1,612
2006,NUTS,2006,DEF,1,587
2006,NUTS,2006,DEG,1,667
2006,NUTS,2006,DK0,1,827
2006,NUTS,2006,EE0,1,922
2006,NUTS,2006,ES1,1,35
2006,NUTS,2006,ES2,1,683
2006,NUTS,2006,ES3,1,199
2006,NUTS,2006,ES4,1,158
2006,NUTS,2006,ES5,1,514
2006,NUTS,2006,ES6,1,516
2006,NUTS,2006,ES7,1,212
2006,NUTS,2006,FI1,1,407
2006,NUTS,2006,FI2,1,220
2006,NUTS,2006,FR1,1,85
2006,NUTS,2006,FR2,1,456
2006,NUTS,2006,FR3,1,835
2006,NUTS,2006,FR4,1,38
2006,NUTS,2006,FR5,1,807
2006,NUTS,2006,FR6,1,972
2006,NUTS,2006,FR7,1,477
2006,NUTS,2006,FR8,1,980
2006,NUTS,2006,FR9,1,550
2006,NUTS,2006,GR1,1,630
2006,NUTS,2006,GR2,1,162
2006,NUTS,2006,GR3,1,415
2006,NUTS,2006,GR4,1,977
2006,NUTS,2006,HR0,1,653
2006,NUTS,2006,HU1,1,741
2006,NUTS,2006,HU2,1,275
2006,NUTS,2006,HU3,1,153
2006,NUTS,2006,IE0,1,348
2006,NUTS,2006,IS0,1,57
2006,NUTS,2006,ITC,1,990
2006,NUTS,2006,ITD,1,103
2006,NUTS,2006,ITE,1,845
2006,NUTS,2006,ITF,1,168
2006,NUTS,2006,ITG,1,67
2006,NUTS,2006,LI0,1,325
2006,NUTS,2006,LT0,1,382
2006,NUTS,2006,LU0,1,686
2006,NUTS,2006,LV0,1,381
2006,NUTS,2006,ME0,1,155
2006,NUTS,2006,MK0,1,242
2006,NUTS,2006,MT0,1,8
2006,NUTS,2006,NL1,1,585
2006,NUTS,2006,NL2,1,927
2006,NUTS,2006,NL3,1,174
2006,NUTS,2006,NL4,1,206
2006,NUTS,2006,NO0,1,71
2006,NUTS,2006,PL1,1,304
2006,NUTS,2006,PL2,1,249
2006,NUTS,2006,PL3,1,489
2006,NUTS,2006,PL4,1,478
2006,NUTS,2006,PL5,1,418
2006,NUTS,2006,PL6,1,688
2006,NUTS,2006,PT1,1,749
2006,NUTS,2006,PT2,1,395
2006,NUTS,2006,PT3,1,1000
2006,NUTS,2006,RO1,1,84
2006,NUTS,2006,RO2,1,595
2006,NUTS,2006,RO3,1,413
2006,NUTS,2006,RO4,1,737
2006,NUTS,2006,SE1,1,233
2006,NUTS,2006,SE2,1,924
2006,NUTS,2006,SE3,1,622
2006,NUTS,2006,SI0,1,917
2006,NUTS,2006,SK0,1,263
2006,NUTS,2006,TR1,1,536
2006,NUTS,2006,TR2,1,71
2006,NUTS,2006,TR3,1,650
2006,NUTS,2006,TR4,1,348
2006,NUTS,2006,TR5,1,659
2006,NUTS,2006,TR6,1,867
2006,NUTS,2006,TR7,1,59
2006,NUTS,2006,TR8,1,452
2006,NUTS,2006,TR9,1,553
2006,NUTS,2006,TRA,1,436
