year,region_type,region_year_spec,region_id,region_level,kabco
2006,NUTS,2006,AT,0,24424
2006,NUTS,2006,BE,0,93840
2006,NUTS,2006,BG,0,96169
2006,NUTS,2006,CH,0,16804
2006,NUTS,2006,CY,0,96576
2006,NUTS,2006,CZ,0,38868
2006,NUTS,2006,DE,0,47207
2006,NUTS,2006,DK,0,63532
2006,NUTS,2006,EE,0,85105
2006,NUTS,2006,ES,0,45778
2006,NUTS,2006,FI,0,29614
2006,NUTS,2006,FR,0,26249
2006,NUTS,2006,GR,0,8855
2006,NUTS,2006,HR,0,94546
2006,NUTS,2006,HU,0,31801
2006,NUTS,2006,IE,0,2234
2006,NUTS,2006,IS,0,46400
2006,NUTS,2006,IT,0,57727
2006,NUTS,2006,LI,0,82894
2006,NUTS,2006,LT,0,77679
2006,NUTS,2006,LU,0,47550
2006,NUTS,2006,LV,0,99271
2006,NUTS,2006,ME,0,5778
2006,NUTS,2006,MK,0,59486
2006,NUTS,2006,MT,0,418
2006,NUTS,2006,NL,0,24015
2006,NUTS,2006,NO,0,16449
2006,NUTS,2006,PL,0,63289
2006,NUTS,2006,PT,0,43596
2006,NUTS,2006,RO,0,1666
2006,NUTS,2006,SE,0,89533
2006,NUTS,2006,SI,0,41667
2006,NUTS,2006,SK,0,68271
2006,NUTS,2006,TR,0,50198
2006,NUTS,2006,UK,0,11618
2006,NUTS,2006,AT1,1,78143
2006,NUTS,2006,AT2,1,21834
2006,NUTS,2006,AT3,1,28135
2006,NUTS,2006,BE1,1,42329
2006,NUTS,2006,BE2,1,48977
2006,NUTS,2006,BE3,1,26244
2006,NUTS,2006,BG3,1,46716
2006,NUTS,2006,BG4,1,83888
2006,NUTS,2006,CH0,1,25460
2006,NUTS,2006,CY0,1,29995
2006,NUTS,2006,CZ0,1,91980
2006,NUTS,2006,DE1,1,67377
2006,NUTS,2006,DE2,1,68724
2006,NUTS,2006,DE3,1,77733
2006,NUTS,2006,DE4,1,16005
2006,NUTS,2006,DE5,1,5615
2006,NUTS,2006,DE6,1,5230
2006,NUTS,2006,DE7,1,58122
2006,NUTS,2006,DE8,1,49674
2006,NUTS,2006,DE9,1,82293
2006,NUTS,2006,DEA,1,74571
2006,NUTS,2006,DEB,1,46987
2006,NUTS,2006,DEC,1,23667
2006,NUTS,2006,DED,1,22953
2006,NUTS,2006,DEE,1,58543
2006,NUTS,2006,DEF,1,3043
2006,NUTS,2006,DEG,1,81122
2006,NUTS,2006,DK0,1,81663
2006,NUTS,2006,EE0,1,28363
2006,NUTS,2006,ES1,1,61716
2006,NUTS,2006,ES2,1,70793
2006,NUTS,2006,ES3,1,35404
2006,NUTS,2006,ES4,1,7980
2006,NUTS,2006,ES5,1,96340
2006,NUTS,2006,ES6,1,61800
2006,NUTS,2006,ES7,1,32101
2006,NUTS,2006,FI1,1,3235
2006,NUTS,2006,FI2,1,40430
2006,NUTS,2006,FR1,1,39255
2006,NUTS,2006,FR2,1,13956
2006,NUTS,2006,FR3,1,70384
2006,NUTS,2006,FR4,1,79504
2006,NUTS,2006,FR5,1,87235
2006,NUTS,2006,FR6,1,95176
2006,NUTS,2006,FR7,1,1110
2006,NUTS,2006,FR8,1,36796
2006,NUTS,2006,FR9,1,9848
2006,NUTS,2006,GR1,1,2125
2006,NUTS,2006,GR2,1,43178
2006,NUTS,2006,GR3,1,39821
2006,NUTS,2006,GR4,1,22650
2006,NUTS,2006,HR0,1,46046
2006,NUTS,2006,HU1,1,36160
2006,NUTS,2006,HU2,1,91795
2006,NUTS,2006,HU3,1,40062
2006,NUTS,2006,IE0,1,4583
2006,NUTS,2006,IS0,1,55099
2006,NUTS,2006,ITC,1,18007
2006,NUTS,2006,ITD,1,30067
2006,NUTS,2006,ITE,1,51583
2006,NUTS,2006,ITF,1,54618
2006,NUTS,2006,ITG,1,12999
2006,NUTS,2006,LI0,1,84387
2006,NUTS,2006,LT0,1,80860
2006,NUTS,2006,LU0,1,89346
2006,NUTS,2006,LV0,1,29907
2006,NUTS,2006,ME0,1,4225
2006,NUTS,2006,MK0,1,58774
2006,NUTS,2006,MT0,1,98723
2006,NUTS,2006,NL1,1,68191
2006,NUTS,2006,NL2,1,73953
2006,NUTS,2006,NL3,1,95036
2006,NUTS,2006,NL4,1,36697
2006,NUTS,2006,NO0,1,53366
2006,NUTS,2006,PL1,1,31686
2006,NUTS,2006,PL2,1,82060
2006,NUTS,2006,PL3,1,22256
2006,NUTS,2006,PL4,1,52391
2006,NUTS,2006,PL5,1,50130
2006,NUTS,2006,PL6,1,70980
2006,NUTS,2006,PT1,1,36022
2006,NUTS,2006,PT2,1,6358
2006,NUTS,2006,PT3,1,12606
2006,NUTS,2006,RO1,1,11605
2006,NUTS,2006,RO2,1,52083
2006,NUTS,2006,RO3,1,71829
2006,NUTS,2006,RO4,1,4577
2006,NUTS,2006,SE1,1,96086
2006,NUTS,2006,SE2,1,88592
2006,NUTS,2006,SE3,1,63691
2006,NUTS,2006,SI0,1,40664
2006,NUTS,2006,SK0,1,23305
2006,NUTS,2006,TR1,1,267
2006,NUTS,2006,TR2,1,55875
2006,NUTS,2006,TR3,1,89971
2006,NUTS,2006,TR4,1,24300
2006,NUTS,2006,TR5,1,5760
2006,NUTS,2006,TR6,1,57300
2006,NUTS,2006,TR7,1,10382
2006,NUTS,2006,TR8,1,72372
2006,NUTS,2006,TR9,1,27643
2006,NUTS,2006,TRA,1,71833
2006,NUTS,2006,TRB,1,82289
2006,NUTS,2006,TRC,1,2317
2006,NUTS,2006,UKC,1,50386
2006,NUTS,2006,UKD,1,64839
2006,NUTS,2006,UKE,1,94706
2006,NUTS,2006,UKF,1,17747
2006,NUTS,2006,UKG,1,24791
