year,region_type,region_year_spec,region_id,region_level,mugka
2011,NUTS,2010,AT,0,19362
2011,NUTS,2010,BE,0,376171
2011,NUTS,2010,BG,0,407046
2011,NUTS,2010,CH,0,430748
2011,NUTS,2010,CY,0,995611
2011,NUTS,2010,CZ,0,176786
2011,NUTS,2010,DE,0,744162
2011,NUTS,2010,DK,0,239131
2011,NUTS,2010,EE,0,843445
2011,NUTS,2010,EL,0,824583
2011,NUTS,2010,ES,0,218633
2011,NUTS,2010,FI,0,826968
2011,NUTS,2010,FR,0,608158
2011,NUTS,2010,HR,0,559416
2011,NUTS,2010,HU,0,721781
2011,NUTS,2010,IE,0,203588
2011,NUTS,2010,IS,0,463188
2011,NUTS,2010,IT,0,559407
2011,NUTS,2010,LI,0,911226
2011,NUTS,2010,LT,0,638545
2011,NUTS,2010,LU,0,206496
2011,NUTS,2010,LV,0,830997
2011,NUTS,2010,ME,0,186308
2011,NUTS,2010,MK,0,964620
2011,NUTS,2010,MT,0,189112
2011,NUTS,2010,NL,0,207306
2011,NUTS,2010,NO,0,747534
2011,NUTS,2010,PL,0,214048
2011,NUTS,2010,PT,0,844641
2011,NUTS,2010,RO,0,728642
2011,NUTS,2010,SE,0,956675
2011,NUTS,2010,SI,0,214582
2011,NUTS,2010,SK,0,724715
2011,NUTS,2010,TR,0,877121
2011,NUTS,2010,UK,0,250072
2011,NUTS,2010,AT1,1,38235
2011,NUTS,2010,AT2,1,676526
2011,NUTS,2010,AT3,1,234650
2011,NUTS,2010,BE1,1,317246
2011,NUTS,2010,BE2,1,445817
2011,NUTS,2010,BE3,1,685977
2011,NUTS,2010,BG3,1,978031
2011,NUTS,2010,BG4,1,58714
2011,NUTS,2010,CH0,1,798011
2011,NUTS,2010,CY0,1,58169
2011,NUTS,2010,CZ0,1,512341
2011,NUTS,2010,DE1,1,434833
2011,NUTS,2010,DE2,1,110173
2011,NUTS,2010,DE3,1,64294
2011,NUTS,2010,DE4,1,308781
2011,NUTS,2010,DE5,1,318193
2011,NUTS,2010,DE6,1,501057
2011,NUTS,2010,DE7,1,484352
2011,NUTS,2010,DE8,1,463261
2011,NUTS,2010,DE9,1,961061
2011,NUTS,2010,DEA,1,949246
2011,NUTS,2010,DEB,1,899998
2011,NUTS,2010,DEC,1,281320
2011,NUTS,2010,DED,1,767349
2011,NUTS,2010,DEE,1,176094
2011,NUTS,2010,DEF,1,281944
2011,NUTS,2010,DEG,1,358105
2011,NUTS,2010,DK0,1,979038
2011,NUTS,2010,EE0,1,404346
2011,NUTS,2010,EL1,1,219481
2011,NUTS,2010,EL2,1,806333
2011,NUTS,2010,EL3,1,237652
2011,NUTS,2010,EL4,1,945478
2011,NUTS,2010,ES1,1,835203
2011,NUTS,2010,ES2,1,220051
2011,NUTS,2010,ES3,1,236085
2011,NUTS,2010,ES4,1,756270
2011,NUTS,2010,ES5,1,615975
2011,NUTS,2010,ES6,1,277133
2011,NUTS,2010,ES7,1,579554
2011,NUTS,2010,FI1,1,20327
2011,NUTS,2010,FI2,1,964533
2011,NUTS,2010,FR1,1,496022
2011,NUTS,2010,FR2,1,844588
2011,NUTS,2010,FR3,1,517728
2011,NUTS,2010,FR4,1,577511
2011,NUTS,2010,FR5,1,760011
2011,NUTS,2010,FR6,1,671846
2011,NUTS,2010,FR7,1,902274
2011,NUTS,2010,FR8,1,201315
2011,NUTS,2010,FR9,1,618378
2011,NUTS,2010,HR0,1,362808
2011,NUTS,2010,HU1,1,602508
