year,region_type,region_year_spec,region_id,region_level,merve
2008,NUTS,2006,AT,0,47935461
2008,NUTS,2006,BE,0,46178897
2008,NUTS,2006,BG,0,8427978
2008,NUTS,2006,CH,0,16435413
2008,NUTS,2006,CY,0,8749634
2008,NUTS,2006,CZ,0,41106971
2008,NUTS,2006,DE,0,86116729
2008,NUTS,2006,DK,0,43150773
2008,NUTS,2006,EE,0,8309596
2008,NUTS,2006,ES,0,69898397
2008,NUTS,2006,FI,0,77440381
2008,NUTS,2006,FR,0,31777363
2008,NUTS,2006,GR,0,50694286
2008,NUTS,2006,HR,0,8498739
2008,NUTS,2006,HU,0,45527402
2008,NUTS,2006,IE,0,42685561
2008,NUTS,2006,IS,0,74082606
2008,NUTS,2006,IT,0,78144812
2008,NUTS,2006,LI,0,97404862
2008,NUTS,2006,LT,0,98912873
2008,NUTS,2006,LU,0,37499668
2008,NUTS,2006,LV,0,83385644
2008,NUTS,2006,ME,0,53214973
2008,NUTS,2006,MK,0,23306943
2008,NUTS,2006,MT,0,28039210
2008,NUTS,2006,NL,0,45256437
2008,NUTS,2006,NO,0,20533056
2008,NUTS,2006,PL,0,96263974
2008,NUTS,2006,PT,0,37448762
2008,NUTS,2006,RO,0,4730846
2008,NUTS,2006,SE,0,92418760
2008,NUTS,2006,SI,0,60614230
2008,NUTS,2006,SK,0,82425415
2008,NUTS,2006,TR,0,80623360
2008,NUTS,2006,UK,0,90258307
2008,NUTS,2006,AT1,1,64643908
2008,NUTS,2006,AT2,1,6718661
2008,NUTS,2006,AT3,1,73216270
2008,NUTS,2006,BE1,1,39983889
2008,NUTS,2006,BE2,1,92764193
2008,NUTS,2006,BE3,1,4060621
2008,NUTS,2006,BG3,1,18549023
2008,NUTS,2006,BG4,1,74165980
2008,NUTS,2006,CH0,1,7500155
2008,NUTS,2006,CY0,1,64950376
2008,NUTS,2006,CZ0,1,71675489
2008,NUTS,2006,DE1,1,54559639
2008,NUTS,2006,DE2,1,93552710
2008,NUTS,2006,DE3,1,44588260
2008,NUTS,2006,DE4,1,32910904
2008,NUTS,2006,DE5,1,73388770
