year,region_type,region_year_spec,region_id,region_level,gafet
2007,NUTS,2006,AT,0,83
2007,NUTS,2006,BE,0,60
2007,NUTS,2006,BG,0,71
2007,NUTS,2006,CH,0,76
2007,NUTS,2006,CY,0,50
2007,NUTS,2006,CZ,0,44
2007,NUTS,2006,DE,0,4
2007,NUTS,2006,DK,0,88
2007,NUTS,2006,EE,0,34
2007,NUTS,2006,ES,0,60
2007,NUTS,2006,FI,0,26
2007,NUTS,2006,FR,0,94
2007,NUTS,2006,GR,0,100
2007,NUTS,2006,HR,0,11
2007,NUTS,2006,HU,0,3
2007,NUTS,2006,IE,0,90
2007,NUTS,2006,IS,0,7
2007,NUTS,2006,IT,0,21
2007,NUTS,2006,LI,0,43
2007,NUTS,2006,LT,0,46
2007,NUTS,2006,LU,0,8
2007,NUTS,2006,LV,0,42
2007,NUTS,2006,ME,0,7
2007,NUTS,2006,MK,0,43
2007,NUTS,2006,MT,0,32
2007,NUTS,2006,NL,0,85
2007,NUTS,2006,NO,0,56
2007,NUTS,2006,PL,0,98
2007,NUTS,2006,PT,0,26
2007,NUTS,2006,RO,0,4
2007,NUTS,2006,SE,0,2
2007,NUTS,2006,SI,0,64
2007,NUTS,2006,SK,0,38
2007,NUTS,2006,TR,0,68
2007,NUTS,2006,UK,0,72
2007,NUTS,2006,AT1,1,44
2007,NUTS,2006,AT2,1,69
2007,NUTS,2006,AT3,1,6
2007,NUTS,2006,BE1,1,0
2007,NUTS,2006,BE2,1,81
2007,NUTS,2006,BE3,1,67
2007,NUTS,2006,BG3,1,73
2007,NUTS,2006,BG4,1,33
2007,NUTS,2006,CH0,1,68
2007,NUTS,2006,CY0,1,93
2007,NUTS,2006,CZ0,1,49
2007,NUTS,2006,DE1,1,27
2007,NUTS,2006,DE2,1,57
2007,NUTS,2006,DE3,1,66
2007,NUTS,2006,DE4,1,95
2007,NUTS,2006,DE5,1,47
2007,NUTS,2006,DE6,1,1
2007,NUTS,2006,DE7,1,62
2007,NUTS,2006,DE8,1,18
2007,NUTS,2006,DE9,1,0
2007,NUTS,2006,DEA,1,34
2007,NUTS,2006,DEB,1,49
2007,NUTS,2006,DEC,1,60
2007,NUTS,2006,DED,1,58
2007,NUTS,2006,DEE,1,35
2007,NUTS,2006,DEF,1,15
2007,NUTS,2006,DEG,1,99
2007,NUTS,2006,DK0,1,11
2007,NUTS,2006,EE0,1,75
2007,NUTS,2006,ES1,1,35
2007,NUTS,2006,ES2,1,66
2007,NUTS,2006,ES3,1,88
2007,NUTS,2006,ES4,1,23
2007,NUTS,2006,ES5,1,18
2007,NUTS,2006,ES6,1,41
2007,NUTS,2006,ES7,1,75
2007,NUTS,2006,FI1,1,89
2007,NUTS,2006,FI2,1,32
2007,NUTS,2006,FR1,1,21
2007,NUTS,2006,FR2,1,40
2007,NUTS,2006,FR3,1,7
2007,NUTS,2006,FR4,1,87
2007,NUTS,2006,FR5,1,87
2007,NUTS,2006,FR6,1,83
2007,NUTS,2006,FR7,1,90
2007,NUTS,2006,FR8,1,18
2007,NUTS,2006,FR9,1,65
2007,NUTS,2006,GR1,1,11
2007,NUTS,2006,GR2,1,59
2007,NUTS,2006,GR3,1,75
2007,NUTS,2006,GR4,1,60
2007,NUTS,2006,HR0,1,14
2007,NUTS,2006,HU1,1,93
2007,NUTS,2006,HU2,1,89
2007,NUTS,2006,HU3,1,70
2007,NUTS,2006,IE0,1,62
2007,NUTS,2006,IS0,1,38
2007,NUTS,2006,ITC,1,65
2007,NUTS,2006,ITD,1,59
2007,NUTS,2006,ITE,1,19
2007,NUTS,2006,ITF,1,76
2007,NUTS,2006,ITG,1,46
2007,NUTS,2006,LI0,1,66
2007,NUTS,2006,LT0,1,74
2007,NUTS,2006,LU0,1,29
2007,NUTS,2006,LV0,1,53
2007,NUTS,2006,ME0,1,29
2007,NUTS,2006,MK0,1,74
2007,NUTS,2006,MT0,1,70
2007,NUTS,2006,NL1,1,13
2007,NUTS,2006,NL2,1,8
2007,NUTS,2006,NL3,1,83
2007,NUTS,2006,NL4,1,36
2007,NUTS,2006,NO0,1,37
2007,NUTS,2006,PL1,1,42
2007,NUTS,2006,PL2,1,45
2007,NUTS,2006,PL3,1,2
2007,NUTS,2006,PL4,1,70
2007,NUTS,2006,PL5,1,75
2007,NUTS,2006,PL6,1,57
2007,NUTS,2006,PT1,1,26
2007,NUTS,2006,PT2,1,26
2007,NUTS,2006,PT3,1,26
2007,NUTS,2006,RO1,1,19
2007,NUTS,2006,RO2,1,61
2007,NUTS,2006,RO3,1,76
2007,NUTS,2006,RO4,1,6
2007,NUTS,2006,SE1,1,11
2007,NUTS,2006,SE2,1,51
2007,NUTS,2006,SE3,1,59
2007,NUTS,2006,SI0,1,4
2007,NUTS,2006,SK0,1,28
2007,NUTS,2006,TR1,1,81
2007,NUTS,2006,TR2,1,69
2007,NUTS,2006,TR3,1,13
2007,NUTS,2006,TR4,1,1
2007,NUTS,2006,TR5,1,69
2007,NUTS,2006,TR6,1,82
2007,NUTS,2006,TR7,1,43
2007,NUTS,2006,TR8,1,9
2007,NUTS,2006,TR9,1,51
2007,NUTS,2006,TRA,1,63
2007,NUTS,2006,TRB,1,15
2007,NUTS,2006,TRC,1,41
2007,NUTS,2006,UKC,1,52
2007,NUTS,2006,UKD,1,9
2007,NUTS,2006,UKE,1,97
2007,NUTS,2006,UKF,1,5
2007,NUTS,2006,UKG,1,39
2007,NUTS,2006,UKH,1,26
2007,NUTS,2006,UKI,1,24
2007,NUTS,2006,UKJ,1,97
2007,NUTS,2006,UKK,1,23
2007,NUTS,2006,UKL,1,88
2007,NUTS,2006,UKM,1,76
2007,NUTS,2006,UKN,1,8
2007,NUTS,2006,AT11,2,99
2007,NUTS,2006,AT12,2,89
2007,NUTS,2006,AT13,2,6
