year,nuts_id,nuts_year_spec,viava
2008,UKC1,2006,70337503
2008,UKC2,2006,25928365
2008,UKD1,2006,3769677
2008,UKD2,2006,61292120
2008,UKD3,2006,48188528
2008,UKD4,2006,11240148
2008,UKD5,2006,82470082
2008,UKE1,2006,10334093
2008,UKE2,2006,34232924
2008,UKE3,2006,2834215
2008,UKE4,2006,46538844
2008,UKF1,2006,85194936
2008,UKF2,2006,28756110
2008,UKF3,2006,60208035
2008,UKG1,2006,38575447
2008,UKG2,2006,11438521
2008,UKG3,2006,57812635
2008,UKH1,2006,47704220
2008,UKH2,2006,9867461
2008,UKH3,2006,22040719
2008,UKI1,2006,18279851
2008,UKI2,2006,11260265
2008,UKJ1,2006,23075506
2008,UKJ2,2006,69755445
2008,UKJ3,2006,45440887
2008,UKJ4,2006,52900558
2008,UKK1,2006,24104838
2008,UKK2,2006,15972979
2008,UKK3,2006,70519430
2008,UKK4,2006,66154540
2008,UKL1,2006,84050535
2008,UKL2,2006,50195120
2008,UKM2,2006,48642290
2008,UKM3,2006,57877169
2008,UKM5,2006,72083737
2008,UKM6,2006,12292398
2008,UKN0,2006,98606321
2009,UKC1,2006,10328474
2009,UKC2,2006,31121016
2009,UKD1,2006,25765840
2009,UKD2,2006,9174412
2009,UKD3,2006,77399393
2009,UKD4,2006,56723927
2009,UKD5,2006,5681816
2009,UKE1,2006,73348607
2009,UKE2,2006,16032407
2009,UKE3,2006,95778316
2009,UKE4,2006,24520
2009,UKF1,2006,45324602
2009,UKF2,2006,94592553
2009,UKF3,2006,32915742
2009,UKG1,2006,67237645
2009,UKG2,2006,48996322
2009,UKG3,2006,26268445
2009,UKH1,2006,33020225
2009,UKH2,2006,16074794
2009,UKH3,2006,53372076
2009,UKI1,2006,63379456
2009,UKI2,2006,24286141
2009,UKJ1,2006,43371147
2009,UKJ2,2006,13136390
2009,UKJ3,2006,55884920
2009,UKJ4,2006,59183250
2009,UKK1,2006,23508465
2009,UKK2,2006,74070079
2009,UKK3,2006,21912396
2009,UKK4,2006,86482136
2009,UKL1,2006,83473482
2009,UKL2,2006,24160116
2009,UKM2,2006,91363897
2009,UKM3,2006,73453598
2009,UKM5,2006,71964542
2009,UKM6,2006,13807854
2009,UKN0,2006,8661992
2010,UKC1,2010,45039371
2010,UKC2,2010,37478298
2010,UKD1,2010,51847925
2010,UKD3,2010,35417996
2010,UKD4,2010,1115926
2010,UKD6,2010,99805932
2010,UKD7,2010,72801022
2010,UKE1,2010,59502306
2010,UKE2,2010,49539443
2010,UKE3,2010,15950299
2010,UKE4,2010,22151796
2010,UKF1,2010,63005086
2010,UKF2,2010,19555898
2010,UKF3,2010,15787343
2010,UKG1,2010,36158192
2010,UKG2,2010,49397270
