year,nuts_id,nuts_year_spec,kojze
2010,UKC1,2010,74
2010,UKC2,2010,986
2010,UKD1,2010,492
2010,UKD3,2010,443
2010,UKD4,2010,123
2010,UKD6,2010,516
2010,UKD7,2010,772
2010,UKE1,2010,933
2010,UKE2,2010,828
2010,UKE3,2010,376
2010,UKE4,2010,670
2010,UKF1,2010,109
2010,UKF2,2010,571
2010,UKF3,2010,309
2010,UKG1,2010,39
2010,UKG2,2010,606
2010,UKG3,2010,431
2010,UKH1,2010,958
2010,UKH2,2010,943
2010,UKH3,2010,41
2010,UKI1,2010,247
2010,UKI2,2010,350
2010,UKJ1,2010,224
2010,UKJ2,2010,861
2010,UKJ3,2010,750
2010,UKJ4,2010,547
2010,UKK1,2010,837
2010,UKK2,2010,458
2010,UKK3,2010,437
2010,UKK4,2010,927
2010,UKL1,2010,69
2010,UKL2,2010,508
2010,UKM2,2010,313
2010,UKM3,2010,156
2010,UKM5,2010,807
2010,UKM6,2010,27
2010,UKN0,2010,165
2011,UKC1,2010,373
2011,UKC2,2010,363
2011,UKD1,2010,883
2011,UKD3,2010,812
2011,UKD4,2010,790
2011,UKD6,2010,79
2011,UKD7,2010,363
2011,UKE1,2010,716
2011,UKE2,2010,497
2011,UKE3,2010,809
2011,UKE4,2010,921
2011,UKF1,2010,383
2011,UKF2,2010,106
2011,UKF3,2010,271
2011,UKG1,2010,519
2011,UKG2,2010,350
2011,UKG3,2010,814
2011,UKH1,2010,413
2011,UKH2,2010,251
2011,UKH3,2010,445
2011,UKI1,2010,946
2011,UKI2,2010,480
2011,UKJ1,2010,344
2011,UKJ2,2010,193
2011,UKJ3,2010,163
2011,UKJ4,2010,284
2011,UKK1,2010,726
2011,UKK2,2010,429
2011,UKK3,2010,146
2011,UKK4,2010,923
2011,UKL1,2010,840
2011,UKL2,2010,170
2011,UKM2,2010,965
2011,UKM3,2010,330
2011,UKM5,2010,403
2011,UKM6,2010,211
2011,UKN0,2010,446
2012,UKC1,2010,11
2012,UKC2,2010,208
2012,UKD1,2010,76
2012,UKD3,2010,313
2012,UKD4,2010,517
2012,UKD6,2010,579
2012,UKD7,2010,597
2012,UKE1,2010,845
2012,UKE2,2010,83
2012,UKE3,2010,678
2012,UKE4,2010,405
2012,UKF1,2010,511
2012,UKF2,2010,28
2012,UKF3,2010,528
2012,UKG1,2010,187
2012,UKG2,2010,938
2012,UKG3,2010,265
2012,UKH1,2010,324
2012,UKH2,2010,685
2012,UKH3,2010,783
2012,UKI1,2010,415
2012,UKI2,2010,528
2012,UKJ1,2010,713
2012,UKJ2,2010,387
2012,UKJ3,2010,598
2012,UKJ4,2010,355
2012,UKK1,2010,477
2012,UKK2,2010,424
2012,UKK3,2010,576
2012,UKK4,2010,115
2012,UKL1,2010,821
2012,UKL2,2010,50
2012,UKM2,2010,206
2012,UKM3,2010,574
2012,UKM5,2010,362
2012,UKM6,2010,789
2012,UKN0,2010,437
2013,UKC1,2013,959
2013,UKC2,2013,920
2013,UKD1,2013,90
2013,UKD3,2013,649
2013,UKD4,2013,495
2013,UKD6,2013,155
2013,UKD7,2013,235
2013,UKE1,2013,114
2013,UKE2,2013,528
2013,UKE3,2013,700
2013,UKE4,2013,598
2013,UKF1,2013,917
2013,UKF2,2013,804
2013,UKF3,2013,515
2013,UKG1,2013,344
2013,UKG2,2013,739
2013,UKG3,2013,817
2013,UKH1,2013,275
2013,UKH2,2013,619
2013,UKH3,2013,296
2013,UKI3,2013,880
2013,UKI4,2013,937
2013,UKI5,2013,486
2013,UKI6,2013,862
2013,UKI7,2013,374
2013,UKJ1,2013,165
2013,UKJ2,2013,863
2013,UKJ3,2013,269
2013,UKJ4,2013,499
2013,UKK1,2013,851
2013,UKK2,2013,18
2013,UKK3,2013,594
2013,UKK4,2013,861
2013,UKL1,2013,260
2013,UKL2,2013,718
2013,UKM2,2013,899
2013,UKM3,2013,383
2013,UKM5,2013,742
2013,UKM6,2013,149
2013,UKN0,2013,119
2014,UKC1,2013,871
2014,UKC2,2013,175
2014,UKD1,2013,205
2014,UKD3,2013,51
2014,UKD4,2013,547
2014,UKD6,2013,325
2014,UKD7,2013,167
2014,UKE1,2013,169
2014,UKE2,2013,888
2014,UKE3,2013,854
2014,UKE4,2013,504
2014,UKF1,2013,623
2014,UKF2,2013,421
2014,UKF3,2013,190
2014,UKG1,2013,603
2014,UKG2,2013,88
2014,UKG3,2013,953
2014,UKH1,2013,932
2014,UKH2,2013,899
2014,UKH3,2013,406
2014,UKI3,2013,965
2014,UKI4,2013,621
2014,UKI5,2013,912
2014,UKI6,2013,787
2014,UKI7,2013,983
2014,UKJ1,2013,123
2014,UKJ2,2013,819
2014,UKJ3,2013,574
2014,UKJ4,2013,224
2014,UKK1,2013,297
2014,UKK2,2013,332
2014,UKK3,2013,869
2014,UKK4,2013,663
2014,UKL1,2013,538
2014,UKL2,2013,171
2014,UKM2,2013,503
2014,UKM3,2013,309
2014,UKM5,2013,729
2014,UKM6,2013,435
2014,UKN0,2013,768
2015,UKC1,2013,287
2015,UKC2,2013,882
2015,UKD1,2013,417
2015,UKD3,2013,310
2015,UKD4,2013,942
2015,UKD6,2013,961
2015,UKD7,2013,359
2015,UKE1,2013,184
2015,UKE2,2013,162
2015,UKE3,2013,210
2015,UKE4,2013,735
2015,UKF1,2013,132
2015,UKF2,2013,678
2015,UKF3,2013,879
2015,UKG1,2013,104
2015,UKG2,2013,819
2015,UKG3,2013,432
2015,UKH1,2013,569
2015,UKH2,2013,434
2015,UKH3,2013,985
2015,UKI3,2013,13
2015,UKI4,2013,727
2015,UKI5,2013,464
2015,UKI6,2013,455
2015,UKI7,2013,278
2015,UKJ1,2013,172
2015,UKJ2,2013,129
2015,UKJ3,2013,987
2015,UKJ4,2013,614
2015,UKK1,2013,349
2015,UKK2,2013,702
2015,UKK3,2013,450
2015,UKK4,2013,681
2015,UKL1,2013,517
2015,UKL2,2013,626
2015,UKM2,2013,717
2015,UKM3,2013,18
2015,UKM5,2013,901
2015,UKM6,2013,275
2015,UKN0,2013,525
