year,region_type,region_year_spec,region_id,region_level,pifuh
2009,NUTS,2006,AT,0,6857
2009,NUTS,2006,BE,0,65139
2009,NUTS,2006,BG,0,35317
2009,NUTS,2006,CH,0,75374
2009,NUTS,2006,CY,0,69491
2009,NUTS,2006,CZ,0,6638
2009,NUTS,2006,DE,0,74022
2009,NUTS,2006,DK,0,92738
2009,NUTS,2006,EE,0,44115
2009,NUTS,2006,ES,0,74197
2009,NUTS,2006,FI,0,96903
2009,NUTS,2006,FR,0,87640
2009,NUTS,2006,GR,0,93419
2009,NUTS,2006,HR,0,15869
2009,NUTS,2006,HU,0,12302
2009,NUTS,2006,IE,0,84496
2009,NUTS,2006,IS,0,98506
2009,NUTS,2006,IT,0,13794
2009,NUTS,2006,LI,0,18079
2009,NUTS,2006,LT,0,94779
2009,NUTS,2006,LU,0,77624
2009,NUTS,2006,LV,0,80916
2009,NUTS,2006,ME,0,35616
2009,NUTS,2006,MK,0,70086
2009,NUTS,2006,MT,0,27894
2009,NUTS,2006,NL,0,61570
2009,NUTS,2006,NO,0,19955
2009,NUTS,2006,PL,0,1792
2009,NUTS,2006,PT,0,91945
2009,NUTS,2006,RO,0,30584
2009,NUTS,2006,SE,0,19563
2009,NUTS,2006,SI,0,21053
2009,NUTS,2006,SK,0,10179
2009,NUTS,2006,TR,0,71901
2009,NUTS,2006,UK,0,41115
2009,NUTS,2006,AT1,1,40195
2009,NUTS,2006,AT2,1,76549
2009,NUTS,2006,AT3,1,82454
2009,NUTS,2006,BE1,1,76143
2009,NUTS,2006,BE2,1,52509
2009,NUTS,2006,BE3,1,12875
2009,NUTS,2006,BG3,1,84983
2009,NUTS,2006,BG4,1,57352
2009,NUTS,2006,CH0,1,14092
2009,NUTS,2006,CY0,1,51526
2009,NUTS,2006,CZ0,1,41304
2009,NUTS,2006,DE1,1,74229
2009,NUTS,2006,DE2,1,2193
2009,NUTS,2006,DE3,1,58145
2009,NUTS,2006,DE4,1,92925
2009,NUTS,2006,DE5,1,76079
2009,NUTS,2006,DE6,1,76056
2009,NUTS,2006,DE7,1,20488
2009,NUTS,2006,DE8,1,21106
2009,NUTS,2006,DE9,1,98066
2009,NUTS,2006,DEA,1,39747
2009,NUTS,2006,DEB,1,5407
2009,NUTS,2006,DEC,1,27137
2009,NUTS,2006,DED,1,58304
2009,NUTS,2006,DEE,1,64444
2009,NUTS,2006,DEF,1,87245
2009,NUTS,2006,DEG,1,63123
