year,region_type,region_year_spec,region_id,region_level,vacic
2010,NUTS,2010,AT,0,57
2010,NUTS,2010,BE,0,954
2010,NUTS,2010,BG,0,240
2010,NUTS,2010,CH,0,546
2010,NUTS,2010,CY,0,640
2010,NUTS,2010,CZ,0,242
2010,NUTS,2010,DE,0,951
2010,NUTS,2010,DK,0,939
2010,NUTS,2010,EE,0,815
2010,NUTS,2010,EL,0,169
2010,NUTS,2010,ES,0,459
2010,NUTS,2010,FI,0,874
2010,NUTS,2010,FR,0,652
2010,NUTS,2010,HR,0,946
2010,NUTS,2010,HU,0,986
2010,NUTS,2010,IE,0,525
2010,NUTS,2010,IS,0,816
2010,NUTS,2010,IT,0,995
2010,NUTS,2010,LI,0,934
2010,NUTS,2010,LT,0,920
2010,NUTS,2010,LU,0,924
2010,NUTS,2010,LV,0,798
2010,NUTS,2010,ME,0,432
2010,NUTS,2010,MK,0,902
2010,NUTS,2010,MT,0,198
2010,NUTS,2010,NL,0,130
2010,NUTS,2010,NO,0,789
2010,NUTS,2010,PL,0,479
2010,NUTS,2010,PT,0,190
2010,NUTS,2010,RO,0,343
2010,NUTS,2010,SE,0,514
2010,NUTS,2010,SI,0,254
2010,NUTS,2010,SK,0,817
2010,NUTS,2010,TR,0,495
2010,NUTS,2010,UK,0,4
2010,NUTS,2010,AT1,1,131
2010,NUTS,2010,AT2,1,47
2010,NUTS,2010,AT3,1,57
2010,NUTS,2010,BE1,1,192
2010,NUTS,2010,BE2,1,106
2010,NUTS,2010,BE3,1,420
2010,NUTS,2010,BG3,1,106
2010,NUTS,2010,BG4,1,488
2010,NUTS,2010,CH0,1,291
2010,NUTS,2010,CY0,1,949
2010,NUTS,2010,CZ0,1,805
2010,NUTS,2010,DE1,1,820
2010,NUTS,2010,DE2,1,187
2010,NUTS,2010,DE3,1,719
2010,NUTS,2010,DE4,1,693
2010,NUTS,2010,DE5,1,458
2010,NUTS,2010,DE6,1,126
2010,NUTS,2010,DE7,1,405
2010,NUTS,2010,DE8,1,751
2010,NUTS,2010,DE9,1,949
2010,NUTS,2010,DEA,1,88
2010,NUTS,2010,DEB,1,11
2010,NUTS,2010,DEC,1,916
2010,NUTS,2010,DED,1,75
2010,NUTS,2010,DEE,1,312
2010,NUTS,2010,DEF,1,678
2010,NUTS,2010,DEG,1,436
2010,NUTS,2010,DK0,1,841
2010,NUTS,2010,EE0,1,449
2010,NUTS,2010,EL1,1,601
2010,NUTS,2010,EL2,1,684
2010,NUTS,2010,EL3,1,801
2010,NUTS,2010,EL4,1,346
2010,NUTS,2010,ES1,1,892
2010,NUTS,2010,ES2,1,760
2010,NUTS,2010,ES3,1,594
2010,NUTS,2010,ES4,1,311
2010,NUTS,2010,ES5,1,922
2010,NUTS,2010,ES6,1,918
2010,NUTS,2010,ES7,1,904
2010,NUTS,2010,FI1,1,977
2010,NUTS,2010,FI2,1,204
2010,NUTS,2010,FR1,1,661
2010,NUTS,2010,FR2,1,18
2010,NUTS,2010,FR3,1,944
2010,NUTS,2010,FR4,1,932
2010,NUTS,2010,FR5,1,288
2010,NUTS,2010,FR6,1,891
2010,NUTS,2010,FR7,1,653
2010,NUTS,2010,FR8,1,924
2010,NUTS,2010,FR9,1,632
2010,NUTS,2010,HR0,1,993
2010,NUTS,2010,HU1,1,366
2010,NUTS,2010,HU2,1,222
2010,NUTS,2010,HU3,1,560
2010,NUTS,2010,IE0,1,773
2010,NUTS,2010,IS0,1,90
2010,NUTS,2010,ITC,1,244
2010,NUTS,2010,ITF,1,6
2010,NUTS,2010,ITG,1,389
2010,NUTS,2010,ITH,1,786
2010,NUTS,2010,ITI,1,812
2010,NUTS,2010,LI0,1,686
2010,NUTS,2010,LT0,1,981
2010,NUTS,2010,LU0,1,993
2010,NUTS,2010,LV0,1,978
2010,NUTS,2010,ME0,1,714
2010,NUTS,2010,MK0,1,384
2010,NUTS,2010,MT0,1,188
2010,NUTS,2010,NL1,1,512
2010,NUTS,2010,NL2,1,779
2010,NUTS,2010,NL3,1,22
2010,NUTS,2010,NL4,1,346
2010,NUTS,2010,NO0,1,31
2010,NUTS,2010,N_A,1,463
2010,NUTS,2010,PL1,1,101
2010,NUTS,2010,PL2,1,940
2010,NUTS,2010,PL3,1,506
2010,NUTS,2010,PL4,1,292
2010,NUTS,2010,PL5,1,335
2010,NUTS,2010,PL6,1,741
2010,NUTS,2010,PT1,1,374
2010,NUTS,2010,PT2,1,570
2010,NUTS,2010,PT3,1,265
2010,NUTS,2010,RO1,1,815
2010,NUTS,2010,RO2,1,136
2010,NUTS,2010,RO3,1,755
2010,NUTS,2010,RO4,1,297
2010,NUTS,2010,SE1,1,643
2010,NUTS,2010,SE2,1,335
2010,NUTS,2010,SE3,1,712
2010,NUTS,2010,SI0,1,849
2010,NUTS,2010,SK0,1,850
2010,NUTS,2010,TR1,1,846
2010,NUTS,2010,TR2,1,340
2010,NUTS,2010,TR3,1,694
2010,NUTS,2010,TR4,1,98
2010,NUTS,2010,TR5,1,746
2010,NUTS,2010,TR6,1,415
2010,NUTS,2010,TR7,1,337
2010,NUTS,2010,TR8,1,147
2010,NUTS,2010,TR9,1,859
2010,NUTS,2010,TRA,1,976
2010,NUTS,2010,TRB,1,447
2010,NUTS,2010,TRC,1,280
2010,NUTS,2010,UKC,1,898
2010,NUTS,2010,UKD,1,749
2010,NUTS,2010,UKE,1,915
2010,NUTS,2010,UKF,1,132
2010,NUTS,2010,UKG,1,354
2010,NUTS,2010,UKH,1,685
2010,NUTS,2010,UKI,1,140
2010,NUTS,2010,UKJ,1,19
2010,NUTS,2010,UKK,1,501
2010,NUTS,2010,UKL,1,761
2010,NUTS,2010,UKM,1,275
2010,NUTS,2010,UKN,1,619
