year,region_type,region_year_spec,region_id,region_level,apnif
2008,NUTS,2006,AT,0,7092351
2008,NUTS,2006,BE,0,6031607
2008,NUTS,2006,BG,0,2269647
2008,NUTS,2006,CH,0,1057921
2008,NUTS,2006,CY,0,197893
2008,NUTS,2006,CZ,0,6435573
2008,NUTS,2006,DE,0,1181476
2008,NUTS,2006,DK,0,6685738
2008,NUTS,2006,EE,0,3181006
2008,NUTS,2006,ES,0,8821118
2008,NUTS,2006,FI,0,2356073
2008,NUTS,2006,FR,0,6888960
2008,NUTS,2006,GR,0,9449712
2008,NUTS,2006,HR,0,7643881
2008,NUTS,2006,HU,0,7350268
2008,NUTS,2006,IE,0,1212570
2008,NUTS,2006,IS,0,2720572
2008,NUTS,2006,IT,0,541785
2008,NUTS,2006,LI,0,4404140
2008,NUTS,2006,LT,0,7351404
2008,NUTS,2006,LU,0,334537
2008,NUTS,2006,LV,0,8680958
2008,NUTS,2006,ME,0,2623367
2008,NUTS,2006,MK,0,9418610
2008,NUTS,2006,MT,0,2452806
2008,NUTS,2006,NL,0,7996015
2008,NUTS,2006,NO,0,6358761
2008,NUTS,2006,PL,0,4046072
2008,NUTS,2006,PT,0,5441986
2008,NUTS,2006,RO,0,9240627
2008,NUTS,2006,SE,0,1873880
2008,NUTS,2006,SI,0,6837594
2008,NUTS,2006,SK,0,1105225
2008,NUTS,2006,TR,0,7519162
2008,NUTS,2006,UK,0,5098477
2008,NUTS,2006,AT1,1,6546587
2008,NUTS,2006,AT2,1,3113648
2008,NUTS,2006,AT3,1,2016072
2008,NUTS,2006,BE1,1,2438412
2008,NUTS,2006,BE2,1,9163334
2008,NUTS,2006,BE3,1,5090983
2008,NUTS,2006,BG3,1,8043968
2008,NUTS,2006,BG4,1,9048480
2008,NUTS,2006,CH0,1,9615661
2008,NUTS,2006,CY0,1,8910203
2008,NUTS,2006,CZ0,1,1588757
2008,NUTS,2006,DE1,1,227580
2008,NUTS,2006,DE2,1,199928
2008,NUTS,2006,DE3,1,7658833
2008,NUTS,2006,DE4,1,3896195
2008,NUTS,2006,DE5,1,8366678
2008,NUTS,2006,DE6,1,7911304
2008,NUTS,2006,DE7,1,2687844
2008,NUTS,2006,DE8,1,5318947
2008,NUTS,2006,DE9,1,6628812
2008,NUTS,2006,DEA,1,1094022
2008,NUTS,2006,DEB,1,6629182
2008,NUTS,2006,DEC,1,2062748
2008,NUTS,2006,DED,1,609207
2008,NUTS,2006,DEE,1,7348805
2008,NUTS,2006,DEF,1,1571141
2008,NUTS,2006,DEG,1,9792752
2008,NUTS,2006,DK0,1,3463311
2008,NUTS,2006,EE0,1,4882779
2008,NUTS,2006,ES1,1,2191506
2008,NUTS,2006,ES2,1,1005289
2008,NUTS,2006,ES3,1,9949348
2008,NUTS,2006,ES4,1,8236612
2008,NUTS,2006,ES5,1,6954708
2008,NUTS,2006,ES6,1,1557128
2008,NUTS,2006,ES7,1,2471476
2008,NUTS,2006,FI1,1,5316486
2008,NUTS,2006,FI2,1,8068302
2008,NUTS,2006,FR1,1,8460956
2008,NUTS,2006,FR2,1,5041738
2008,NUTS,2006,FR3,1,1180225
2008,NUTS,2006,FR4,1,3821978
2008,NUTS,2006,FR5,1,5670688
2008,NUTS,2006,FR6,1,6139924
2008,NUTS,2006,FR7,1,4896411
2008,NUTS,2006,FR8,1,8232263
2008,NUTS,2006,FR9,1,7883164
2008,NUTS,2006,GR1,1,4137971
2008,NUTS,2006,GR2,1,683275
2008,NUTS,2006,GR3,1,9309101
2008,NUTS,2006,GR4,1,6062166
2008,NUTS,2006,HR0,1,6205230
2008,NUTS,2006,HU1,1,9156539
2008,NUTS,2006,HU2,1,8498180
2008,NUTS,2006,HU3,1,215206
2008,NUTS,2006,IE0,1,1112277
2008,NUTS,2006,IS0,1,5470828
2008,NUTS,2006,ITC,1,9741450
2008,NUTS,2006,ITD,1,4729498
2008,NUTS,2006,ITE,1,5829649
2008,NUTS,2006,ITF,1,1012600
2008,NUTS,2006,ITG,1,8870261
2008,NUTS,2006,LI0,1,7182435
2008,NUTS,2006,LT0,1,7515330
2008,NUTS,2006,LU0,1,2979381
2008,NUTS,2006,LV0,1,4184416
2008,NUTS,2006,ME0,1,7848676
2008,NUTS,2006,MK0,1,6030321
