year,region_type,region_year_spec,region_id,region_level,solit
2008,NUTS,2006,AT,0,100
2008,NUTS,2006,BE,0,81
2008,NUTS,2006,BG,0,37
2008,NUTS,2006,CH,0,88
2008,NUTS,2006,CY,0,21
2008,NUTS,2006,CZ,0,14
2008,NUTS,2006,DE,0,85
2008,NUTS,2006,DK,0,91
2008,NUTS,2006,EE,0,7
2008,NUTS,2006,ES,0,82
2008,NUTS,2006,FI,0,92
2008,NUTS,2006,FR,0,76
2008,NUTS,2006,GR,0,4
2008,NUTS,2006,HR,0,25
2008,NUTS,2006,HU,0,11
2008,NUTS,2006,IE,0,81
2008,NUTS,2006,IS,0,31
2008,NUTS,2006,IT,0,74
2008,NUTS,2006,LI,0,88
2008,NUTS,2006,LT,0,89
2008,NUTS,2006,LU,0,50
2008,NUTS,2006,LV,0,58
2008,NUTS,2006,ME,0,63
2008,NUTS,2006,MK,0,78
2008,NUTS,2006,MT,0,30
2008,NUTS,2006,NL,0,28
2008,NUTS,2006,NO,0,73
2008,NUTS,2006,PL,0,69
2008,NUTS,2006,PT,0,100
2008,NUTS,2006,RO,0,43
2008,NUTS,2006,SE,0,100
2008,NUTS,2006,SI,0,67
2008,NUTS,2006,SK,0,62
2008,NUTS,2006,TR,0,29
2008,NUTS,2006,UK,0,91
2008,NUTS,2006,AT1,1,84
2008,NUTS,2006,AT2,1,66
2008,NUTS,2006,AT3,1,6
2008,NUTS,2006,BE1,1,29
2008,NUTS,2006,BE2,1,45
2008,NUTS,2006,BE3,1,47
2008,NUTS,2006,BG3,1,46
2008,NUTS,2006,BG4,1,51
2008,NUTS,2006,CH0,1,55
2008,NUTS,2006,CY0,1,30
2008,NUTS,2006,CZ0,1,53
2008,NUTS,2006,DE1,1,28
2008,NUTS,2006,DE2,1,9
2008,NUTS,2006,DE3,1,87
2008,NUTS,2006,DE4,1,97
2008,NUTS,2006,DE5,1,21
2008,NUTS,2006,DE6,1,94
2008,NUTS,2006,DE7,1,65
2008,NUTS,2006,DE8,1,41
2008,NUTS,2006,DE9,1,23
2008,NUTS,2006,DEA,1,45
2008,NUTS,2006,DEB,1,27
2008,NUTS,2006,DEC,1,78
2008,NUTS,2006,DED,1,28
2008,NUTS,2006,DEE,1,63
