year,region_type,region_year_spec,region_id,region_level,kafgi
2010,NUTS,2010,AT,0,4
2010,NUTS,2010,BE,0,1
2010,NUTS,2010,BG,0,4
2010,NUTS,2010,CH,0,0
2010,NUTS,2010,CY,0,9
2010,NUTS,2010,CZ,0,9
2010,NUTS,2010,DE,0,1
2010,NUTS,2010,DK,0,8
2010,NUTS,2010,EE,0,0
2010,NUTS,2010,EL,0,1
2010,NUTS,2010,ES,0,10
2010,NUTS,2010,FI,0,10
2010,NUTS,2010,FR,0,1
2010,NUTS,2010,HR,0,3
2010,NUTS,2010,HU,0,3
2010,NUTS,2010,IE,0,1
2010,NUTS,2010,IS,0,2
2010,NUTS,2010,IT,0,0
2010,NUTS,2010,LI,0,9
2010,NUTS,2010,LT,0,0
2010,NUTS,2010,LU,0,7
2010,NUTS,2010,LV,0,6
2010,NUTS,2010,ME,0,0
2010,NUTS,2010,MK,0,4
2010,NUTS,2010,MT,0,3
2010,NUTS,2010,NL,0,7
2010,NUTS,2010,NO,0,1
2010,NUTS,2010,PL,0,8
2010,NUTS,2010,PT,0,0
2010,NUTS,2010,RO,0,4
2010,NUTS,2010,SE,0,0
2010,NUTS,2010,SI,0,3
2010,NUTS,2010,SK,0,4
2010,NUTS,2010,TR,0,7
2010,NUTS,2010,UK,0,4
2010,NUTS,2010,AT1,1,2
2010,NUTS,2010,AT2,1,6
2010,NUTS,2010,AT3,1,3
2010,NUTS,2010,BE1,1,3
2010,NUTS,2010,BE2,1,5
2010,NUTS,2010,BE3,1,9
2010,NUTS,2010,BG3,1,9
2010,NUTS,2010,BG4,1,3
2010,NUTS,2010,CH0,1,0
2010,NUTS,2010,CY0,1,0
2010,NUTS,2010,CZ0,1,4
2010,NUTS,2010,DE1,1,3
2010,NUTS,2010,DE2,1,5
2010,NUTS,2010,DE3,1,1
2010,NUTS,2010,DE4,1,2
2010,NUTS,2010,DE5,1,4
2010,NUTS,2010,DE6,1,1
2010,NUTS,2010,DE7,1,9
2010,NUTS,2010,DE8,1,8
2010,NUTS,2010,DE9,1,10
2010,NUTS,2010,DEA,1,2
2010,NUTS,2010,DEB,1,6
2010,NUTS,2010,DEC,1,9
2010,NUTS,2010,DED,1,6
