oldId	newId
BG111	BG311
BG112	BG312
BG113	BG313
BG121	BG314
BG122	BG315
BG123	BG321
BG124	BG322
BG125	BG323
BG135	BG324
BG136	BG325
BG131	BG331
BG132	BG332
BG133	BG333
BG134	BG334
BG231	BG341
BG232	BG342
BG233	BG343
BG222	BG344
BG21	BG41
BG211	BG411
BG212	BG412
BG213	BG413
BG214	BG414
BG215	BG415
BG221	BG421
BG223	BG422
BG224	BG423
BG225	BG424
BG226	BG425
DK007	DK014
DK008	DK031
DEE21	DEE02
DEE31	DEE03
DEE3B	DEE04
DEE37	DEE0D
RO06	RO11
RO061	RO111
RO062	RO112
RO063	RO113
RO064	RO114
RO065	RO115
RO066	RO116
RO07	RO12
RO071	RO121
RO072	RO122
RO073	RO123
RO074	RO124
RO075	RO125
RO076	RO126
RO01	RO21
RO011	RO211
RO012	RO212
RO013	RO213
RO014	RO214
RO015	RO215
RO016	RO216
RO02	RO22
RO021	RO221
RO022	RO222
RO023	RO223
RO024	RO224
RO025	RO225
RO026	RO226
RO031	RO311
RO032	RO312
RO033	RO313
RO034	RO314
RO035	RO315
RO036	RO316
RO037	RO317
RO081	RO321
RO082	RO322
RO041	RO411
RO042	RO412
RO043	RO413
RO044	RO414
RO045	RO415
RO05	RO42
RO051	RO421
RO052	RO422
RO053	RO423
RO054	RO424
SI001	SI011
SI002	SI012
SI003	SI013
SI004	SI014
SI005	SI015
SI006	SI016
SI00D	SI017
SI00A	SI018
SI00E	SI021
SI009	SI022
SI00B	SI023
SI00C	SI024
SE01	SE11
SE010	SE110
SE02	SE12
SE022	SE122
SE023	SE123
SE024	SE124
SE09	SE21
SE091	SE211
SE092	SE212
SE093	SE213
SE094	SE214
SE04	SE22
SE041	SE221
SE044	SE224
SE0A	SE23
SE0A1	SE231
SE0A2	SE232
SE06	SE31
SE061	SE311
SE062	SE312
SE063	SE313
SE07	SE32
SE071	SE321
SE072	SE322
SE08	SE33
SE081	SE331
SE082	SE332
UKM44	UKM64
UKM45	UKM65
UKM46	UKM66
RO03	RO31
RO08	RO32
RO04	RO41
UKM41	UKM61
UKM43	UKM63
