oldId	newId
GRZ	ELZ
GRZZ	ELZZ
GRZZZ	ELZZZ
ITD1	ITH1
ITD2	ITH2
DE411	DE403
DE412	DE405
DE413	DE409
DE414	DE40A
DE415	DE40C
DE416	DE40D
DE417	DE40F
DE418	DE40I
DE421	DE401
DE422	DE402
DE423	DE404
DE424	DE406
DE425	DE407
DE426	DE408
DE427	DE40B
DE428	DE40E
DE429	DE40G
DE42A	DE40H
DED11	DED41
DED31	DED51
GR	EL
GR1	EL1
GR11	EL11
GR111	EL111
GR112	EL112
GR113	EL113
GR114	EL114
GR115	EL115
GR12	EL12
GR121	EL121
GR122	EL122
GR123	EL123
GR124	EL124
GR125	EL125
GR126	EL126
GR127	EL127
GR13	EL13
GR131	EL131
GR132	EL132
GR133	EL133
GR134	EL134
GR14	EL14
GR141	EL141
GR142	EL142
GR143	EL143
GR144	EL144
GR2	EL2
GR21	EL21
GR211	EL211
GR212	EL212
GR213	EL213
GR214	EL214
GR22	EL22
GR221	EL221
GR222	EL222
GR223	EL223
GR224	EL224
GR23	EL23
GR231	EL231
GR232	EL232
GR233	EL233
GR24	EL24
GR241	EL241
GR242	EL242
GR243	EL243
GR244	EL244
GR245	EL245
GR25	EL25
GR251	EL251
GR252	EL252
GR253	EL253
GR254	EL254
GR255	EL255
GR3	EL3
GR30	EL30
GR300	EL300
GR4	EL4
GR41	EL41
GR411	EL411
GR412	EL412
GR413	EL413
GR42	EL42
GR421	EL421
GR422	EL422
GR43	EL43
GR431	EL431
GR432	EL432
GR433	EL433
GR434	EL434
ITD10	ITH10
ITD20	ITH20
ITD3	ITH3
ITD31	ITH31
ITD32	ITH32
ITD33	ITH33
ITD34	ITH34
ITD35	ITH35
ITD36	ITH36
ITD37	ITH37
ITD4	ITH4
ITD41	ITH41
ITD42	ITH42
ITD43	ITH43
ITD44	ITH44
ITD51	ITH51
ITD52	ITH52
ITD53	ITH53
ITD54	ITH54
ITD55	ITH55
ITD56	ITH56
ITD57	ITH57
ITD58	ITH58
ITE1	ITI1
ITE11	ITI11
ITE12	ITI12
ITE13	ITI13
ITE14	ITI14
ITE15	ITI15
ITE16	ITI16
ITE17	ITI17
ITE18	ITI18
ITE19	ITI19
ITE1A	ITI1A
ITE2	ITI2
ITE21	ITI21
ITE22	ITI22
ITE32	ITI32
ITE33	ITI33
ITE4	ITI4
ITE41	ITI41
ITE42	ITI42
ITE43	ITI43
ITE44	ITI44
ITE45	ITI45
FI131	FI1D1
FI132	FI1D2
FI133	FI1D3
FI134	FI1D4
FI183	FI1C1
FI184	FI1C2
FI185	FI1C3
FI186	FI1C4
FI187	FI1C5
FI1A1	FI1D5
FI1A2	FI1D6
FI1A3	FI1D7
UKD52	UKD72
UKD53	UKD73
UKD54	UKD74
