year,region_type,region_year_spec,region_id,region_level,mubef
2010,NUTS,2010,AT,0,1198
2010,NUTS,2010,BE,0,2510
2010,NUTS,2010,BG,0,3029
2010,NUTS,2010,CH,0,7511
2010,NUTS,2010,CY,0,4835
2010,NUTS,2010,CZ,0,8547
2010,NUTS,2010,DE,0,7755
2010,NUTS,2010,DK,0,8236
2010,NUTS,2010,EE,0,7635
2010,NUTS,2010,EL,0,923
2010,NUTS,2010,ES,0,8040
2010,NUTS,2010,FI,0,6188
2010,NUTS,2010,FR,0,926
2010,NUTS,2010,HR,0,1802
2010,NUTS,2010,HU,0,4780
2010,NUTS,2010,IE,0,1884
2010,NUTS,2010,IS,0,4174
2010,NUTS,2010,IT,0,4753
2010,NUTS,2010,LI,0,6393
2010,NUTS,2010,LT,0,7011
2010,NUTS,2010,LU,0,9782
2010,NUTS,2010,LV,0,9663
2010,NUTS,2010,ME,0,2183
2010,NUTS,2010,MK,0,2794
2010,NUTS,2010,MT,0,472
2010,NUTS,2010,NL,0,6898
2010,NUTS,2010,NO,0,6678
2010,NUTS,2010,PL,0,9504
2010,NUTS,2010,PT,0,7138
2010,NUTS,2010,RO,0,6482
2010,NUTS,2010,SE,0,9271
2010,NUTS,2010,SI,0,1092
2010,NUTS,2010,SK,0,5098
2010,NUTS,2010,TR,0,7882
2010,NUTS,2010,UK,0,9781
2010,NUTS,2010,AT1,1,973
2010,NUTS,2010,AT2,1,6509
2010,NUTS,2010,AT3,1,1390
2010,NUTS,2010,BE1,1,3214
2010,NUTS,2010,BE2,1,7270
2010,NUTS,2010,BE3,1,8574
2010,NUTS,2010,BG3,1,3668
2010,NUTS,2010,BG4,1,3414
2010,NUTS,2010,CH0,1,150
2010,NUTS,2010,CY0,1,2051
2010,NUTS,2010,CZ0,1,2528
2010,NUTS,2010,DE1,1,1216
2010,NUTS,2010,DE2,1,492
2010,NUTS,2010,DE3,1,8069
2010,NUTS,2010,DE4,1,7495
2010,NUTS,2010,DE5,1,9262
2010,NUTS,2010,DE6,1,1271
2010,NUTS,2010,DE7,1,3404
2010,NUTS,2010,DE8,1,1852
2010,NUTS,2010,DE9,1,4747
2010,NUTS,2010,DEA,1,8086
2010,NUTS,2010,DEB,1,1035
2010,NUTS,2010,DEC,1,9028
2010,NUTS,2010,DED,1,1071
2010,NUTS,2010,DEE,1,600
2010,NUTS,2010,DEF,1,3238
2010,NUTS,2010,DEG,1,5413
2010,NUTS,2010,DK0,1,5800
2010,NUTS,2010,EE0,1,3225
2010,NUTS,2010,EL1,1,5699
2010,NUTS,2010,EL2,1,199
2010,NUTS,2010,EL3,1,3972
2010,NUTS,2010,EL4,1,3514
2010,NUTS,2010,ES1,1,7764
2010,NUTS,2010,ES2,1,3714
2010,NUTS,2010,ES3,1,6811
2010,NUTS,2010,ES4,1,2634
2010,NUTS,2010,ES5,1,6481
2010,NUTS,2010,ES6,1,9569
2010,NUTS,2010,ES7,1,597
2010,NUTS,2010,FI1,1,1158
2010,NUTS,2010,FI2,1,2232
2010,NUTS,2010,FR1,1,75
2010,NUTS,2010,FR2,1,9154
2010,NUTS,2010,FR3,1,8105
2010,NUTS,2010,FR4,1,4493
2010,NUTS,2010,FR5,1,8120
2010,NUTS,2010,FR6,1,8122
2010,NUTS,2010,FR7,1,2667
2010,NUTS,2010,FR8,1,3619
2010,NUTS,2010,FR9,1,9413
2010,NUTS,2010,HR0,1,341
2010,NUTS,2010,HU1,1,824
2010,NUTS,2010,HU2,1,3560
2010,NUTS,2010,HU3,1,1243
2010,NUTS,2010,IE0,1,8494
2010,NUTS,2010,IS0,1,2193
2010,NUTS,2010,ITC,1,2113
2010,NUTS,2010,ITF,1,3558
2010,NUTS,2010,ITG,1,9596
2010,NUTS,2010,ITH,1,1839
2010,NUTS,2010,ITI,1,3400
2010,NUTS,2010,LI0,1,2343
2010,NUTS,2010,LT0,1,5288
2010,NUTS,2010,LU0,1,2678
2010,NUTS,2010,LV0,1,9697
2010,NUTS,2010,ME0,1,2836
2010,NUTS,2010,MK0,1,3647
2010,NUTS,2010,MT0,1,1827
2010,NUTS,2010,NL1,1,4971
2010,NUTS,2010,NL2,1,2832
2010,NUTS,2010,NL3,1,4222
2010,NUTS,2010,NL4,1,22
2010,NUTS,2010,NO0,1,61
2010,NUTS,2010,N_A,1,4170
2010,NUTS,2010,PL1,1,2993
2010,NUTS,2010,PL2,1,9901
2010,NUTS,2010,PL3,1,5829
2010,NUTS,2010,PL4,1,9135
2010,NUTS,2010,PL5,1,8782
2010,NUTS,2010,PL6,1,226
2010,NUTS,2010,PT1,1,7159
2010,NUTS,2010,PT2,1,6837
2010,NUTS,2010,PT3,1,7878
2010,NUTS,2010,RO1,1,813
2010,NUTS,2010,RO2,1,8371
2010,NUTS,2010,RO3,1,6714
2010,NUTS,2010,RO4,1,2576
2010,NUTS,2010,SE1,1,4700
2010,NUTS,2010,SE2,1,4897
2010,NUTS,2010,SE3,1,5630
2010,NUTS,2010,SI0,1,4474
2010,NUTS,2010,SK0,1,5792
2010,NUTS,2010,TR1,1,7185
2010,NUTS,2010,TR2,1,4688
2010,NUTS,2010,TR3,1,1794
2010,NUTS,2010,TR4,1,2393
2010,NUTS,2010,TR5,1,3101
2010,NUTS,2010,TR6,1,1755
2010,NUTS,2010,TR7,1,1077
2010,NUTS,2010,TR8,1,391
2010,NUTS,2010,TR9,1,3635
2010,NUTS,2010,TRA,1,9225
