year,region_type,region_year_spec,region_id,region_level,agevu
2010,NUTS,2010,AT,0,851
2010,NUTS,2010,BE,0,705
2010,NUTS,2010,BG,0,507
2010,NUTS,2010,CH,0,626
2010,NUTS,2010,CY,0,881
2010,NUTS,2010,CZ,0,742
2010,NUTS,2010,DE,0,400
2010,NUTS,2010,DK,0,620
2010,NUTS,2010,EE,0,949
2010,NUTS,2010,EL,0,669
2010,NUTS,2010,ES,0,613
2010,NUTS,2010,FI,0,191
2010,NUTS,2010,FR,0,566
2010,NUTS,2010,HR,0,306
2010,NUTS,2010,HU,0,806
2010,NUTS,2010,IE,0,683
2010,NUTS,2010,IS,0,944
2010,NUTS,2010,IT,0,459
2010,NUTS,2010,LI,0,710
2010,NUTS,2010,LT,0,940
2010,NUTS,2010,LU,0,843
2010,NUTS,2010,LV,0,351
2010,NUTS,2010,ME,0,547
2010,NUTS,2010,MK,0,373
2010,NUTS,2010,MT,0,633
2010,NUTS,2010,NL,0,575
2010,NUTS,2010,NO,0,449
2010,NUTS,2010,PL,0,269
2010,NUTS,2010,PT,0,956
2010,NUTS,2010,RO,0,99
2010,NUTS,2010,SE,0,892
2010,NUTS,2010,SI,0,909
2010,NUTS,2010,SK,0,25
2010,NUTS,2010,TR,0,361
2010,NUTS,2010,UK,0,9
2010,NUTS,2010,AT1,1,147
2010,NUTS,2010,AT2,1,866
2010,NUTS,2010,AT3,1,395
2010,NUTS,2010,BE1,1,236
2010,NUTS,2010,BE2,1,561
2010,NUTS,2010,BE3,1,41
2010,NUTS,2010,BG3,1,452
2010,NUTS,2010,BG4,1,882
2010,NUTS,2010,CH0,1,529
2010,NUTS,2010,CY0,1,794
2010,NUTS,2010,CZ0,1,78
2010,NUTS,2010,DE1,1,692
2010,NUTS,2010,DE2,1,740
2010,NUTS,2010,DE3,1,184
2010,NUTS,2010,DE4,1,541
2010,NUTS,2010,DE5,1,835
2010,NUTS,2010,DE6,1,35
2010,NUTS,2010,DE7,1,224
2010,NUTS,2010,DE8,1,332
2010,NUTS,2010,DE9,1,801
2010,NUTS,2010,DEA,1,238
2010,NUTS,2010,DEB,1,251
2010,NUTS,2010,DEC,1,225
2010,NUTS,2010,DED,1,183
2010,NUTS,2010,DEE,1,189
2010,NUTS,2010,DEF,1,367
2010,NUTS,2010,DEG,1,149
2010,NUTS,2010,DK0,1,468
2010,NUTS,2010,EE0,1,941
2010,NUTS,2010,EL1,1,589
2010,NUTS,2010,EL2,1,747
2010,NUTS,2010,EL3,1,259
2010,NUTS,2010,EL4,1,592
2010,NUTS,2010,ES1,1,735
2010,NUTS,2010,ES2,1,91
2010,NUTS,2010,ES3,1,103
2010,NUTS,2010,ES4,1,575
2010,NUTS,2010,ES5,1,382
2010,NUTS,2010,ES6,1,145
2010,NUTS,2010,ES7,1,443
2010,NUTS,2010,FI1,1,150
2010,NUTS,2010,FI2,1,420
2010,NUTS,2010,FR1,1,919
2010,NUTS,2010,FR2,1,442
2010,NUTS,2010,FR3,1,777
2010,NUTS,2010,FR4,1,439
2010,NUTS,2010,FR5,1,795
2010,NUTS,2010,FR6,1,901
2010,NUTS,2010,FR7,1,643
2010,NUTS,2010,FR8,1,729
2010,NUTS,2010,FR9,1,467
2010,NUTS,2010,HR0,1,937
2010,NUTS,2010,HU1,1,386
2010,NUTS,2010,HU2,1,289
2010,NUTS,2010,HU3,1,593
2010,NUTS,2010,IE0,1,294
2010,NUTS,2010,IS0,1,63
2010,NUTS,2010,ITC,1,269
2010,NUTS,2010,ITF,1,948
2010,NUTS,2010,ITG,1,295
2010,NUTS,2010,ITH,1,598
2010,NUTS,2010,ITI,1,167
2010,NUTS,2010,LI0,1,86
2010,NUTS,2010,LT0,1,903
2010,NUTS,2010,LU0,1,943
2010,NUTS,2010,LV0,1,797
2010,NUTS,2010,ME0,1,573
2010,NUTS,2010,MK0,1,94
2010,NUTS,2010,MT0,1,37
2010,NUTS,2010,NL1,1,964
2010,NUTS,2010,NL2,1,82
2010,NUTS,2010,NL3,1,178
2010,NUTS,2010,NL4,1,347
2010,NUTS,2010,NO0,1,414
2010,NUTS,2010,N_A,1,514
2010,NUTS,2010,PL1,1,594
2010,NUTS,2010,PL2,1,859
2010,NUTS,2010,PL3,1,690
2010,NUTS,2010,PL4,1,735
2010,NUTS,2010,PL5,1,47
2010,NUTS,2010,PL6,1,309
2010,NUTS,2010,PT1,1,489
2010,NUTS,2010,PT2,1,624
2010,NUTS,2010,PT3,1,683
2010,NUTS,2010,RO1,1,522
2010,NUTS,2010,RO2,1,392
2010,NUTS,2010,RO3,1,536
2010,NUTS,2010,RO4,1,624
2010,NUTS,2010,SE1,1,132
2010,NUTS,2010,SE2,1,464
2010,NUTS,2010,SE3,1,75
2010,NUTS,2010,SI0,1,277
2010,NUTS,2010,SK0,1,466
2010,NUTS,2010,TR1,1,333
2010,NUTS,2010,TR2,1,509
2010,NUTS,2010,TR3,1,819
2010,NUTS,2010,TR4,1,704
2010,NUTS,2010,TR5,1,160
2010,NUTS,2010,TR6,1,800
2010,NUTS,2010,TR7,1,661
2010,NUTS,2010,TR8,1,710
2010,NUTS,2010,TR9,1,568
