year,region_type,region_year_spec,region_id,region_level,zigef
2007,NUTS,2006,AT,0,3345
2007,NUTS,2006,BE,0,5663
2007,NUTS,2006,BG,0,1204
2007,NUTS,2006,CH,0,8661
2007,NUTS,2006,CY,0,352
2007,NUTS,2006,CZ,0,8807
2007,NUTS,2006,DE,0,3790
2007,NUTS,2006,DK,0,7735
2007,NUTS,2006,EE,0,4415
2007,NUTS,2006,ES,0,9672
2007,NUTS,2006,FI,0,9451
2007,NUTS,2006,FR,0,1357
2007,NUTS,2006,GR,0,981
2007,NUTS,2006,HR,0,7737
2007,NUTS,2006,HU,0,4095
2007,NUTS,2006,IE,0,2533
2007,NUTS,2006,IS,0,5194
2007,NUTS,2006,IT,0,4683
2007,NUTS,2006,LI,0,9163
2007,NUTS,2006,LT,0,4434
2007,NUTS,2006,LU,0,9388
2007,NUTS,2006,LV,0,912
2007,NUTS,2006,ME,0,2872
2007,NUTS,2006,MK,0,9904
2007,NUTS,2006,MT,0,5803
2007,NUTS,2006,NL,0,2588
2007,NUTS,2006,NO,0,6799
2007,NUTS,2006,PL,0,6841
2007,NUTS,2006,PT,0,4750
2007,NUTS,2006,RO,0,8458
2007,NUTS,2006,SE,0,1662
2007,NUTS,2006,SI,0,7639
2007,NUTS,2006,SK,0,9950
2007,NUTS,2006,TR,0,7861
2007,NUTS,2006,UK,0,4476
2007,NUTS,2006,AT1,1,9824
2007,NUTS,2006,AT2,1,5369
2007,NUTS,2006,AT3,1,3008
2007,NUTS,2006,BE1,1,8192
2007,NUTS,2006,BE2,1,8933
2007,NUTS,2006,BE3,1,414
2007,NUTS,2006,BG3,1,9023
2007,NUTS,2006,BG4,1,1581
2007,NUTS,2006,CH0,1,2875
2007,NUTS,2006,CY0,1,6627
2007,NUTS,2006,CZ0,1,365
2007,NUTS,2006,DE1,1,9345
2007,NUTS,2006,DE2,1,7823
2007,NUTS,2006,DE3,1,5000
2007,NUTS,2006,DE4,1,2014
2007,NUTS,2006,DE5,1,8513
2007,NUTS,2006,DE6,1,7357
2007,NUTS,2006,DE7,1,3956
2007,NUTS,2006,DE8,1,3910
2007,NUTS,2006,DE9,1,657
2007,NUTS,2006,DEA,1,6905
2007,NUTS,2006,DEB,1,580
2007,NUTS,2006,DEC,1,3413
2007,NUTS,2006,DED,1,250
2007,NUTS,2006,DEE,1,712
2007,NUTS,2006,DEF,1,6585
2007,NUTS,2006,DEG,1,3684
2007,NUTS,2006,DK0,1,2361
2007,NUTS,2006,EE0,1,1783
2007,NUTS,2006,ES1,1,1778
2007,NUTS,2006,ES2,1,5911
2007,NUTS,2006,ES3,1,1085
2007,NUTS,2006,ES4,1,9562
2007,NUTS,2006,ES5,1,1556
2007,NUTS,2006,ES6,1,1378
2007,NUTS,2006,ES7,1,6266
2007,NUTS,2006,FI1,1,2047
2007,NUTS,2006,FI2,1,2767
2007,NUTS,2006,FR1,1,7301
2007,NUTS,2006,FR2,1,8787
2007,NUTS,2006,FR3,1,10000
2007,NUTS,2006,FR4,1,6309
2007,NUTS,2006,FR5,1,6223
2007,NUTS,2006,FR6,1,8893
2007,NUTS,2006,FR7,1,3100
2007,NUTS,2006,FR8,1,4057
2007,NUTS,2006,FR9,1,2250
2007,NUTS,2006,GR1,1,4514
2007,NUTS,2006,GR2,1,9602
2007,NUTS,2006,GR3,1,1584
2007,NUTS,2006,GR4,1,7466
2007,NUTS,2006,HR0,1,3302
2007,NUTS,2006,HU1,1,2081
2007,NUTS,2006,HU2,1,7630
2007,NUTS,2006,HU3,1,5000
2007,NUTS,2006,IE0,1,8503
2007,NUTS,2006,IS0,1,6887
2007,NUTS,2006,ITC,1,3436
2007,NUTS,2006,ITD,1,3405
2007,NUTS,2006,ITE,1,4653
