year,nuts_id,nuts_year_spec,uvoug
2006,UKC1,2006,8654230
2006,UKC2,2006,62538227
2006,UKD1,2006,38630939
2006,UKD2,2006,316986
2006,UKD3,2006,31929267
2006,UKD4,2006,79451905
2006,UKD5,2006,21053627
2006,UKE1,2006,17012364
2006,UKE2,2006,6306015
2006,UKE3,2006,65612024
2006,UKE4,2006,24315961
2006,UKF1,2006,86821059
2006,UKF2,2006,13219902
2006,UKF3,2006,291620
2006,UKG1,2006,45146501
2006,UKG2,2006,91647466
2006,UKG3,2006,55763226
2006,UKH1,2006,27083409
2006,UKH2,2006,49889206
2006,UKH3,2006,24743543
2006,UKI1,2006,50830462
2006,UKI2,2006,19827055
2006,UKJ1,2006,73556525
2006,UKJ2,2006,17614702
2006,UKJ3,2006,34308496
2006,UKJ4,2006,76176248
2006,UKK1,2006,39119453
2006,UKK2,2006,56661341
2006,UKK3,2006,64903818
2006,UKK4,2006,22534690
2006,UKL1,2006,91387565
2006,UKL2,2006,99705543
2006,UKM2,2006,34026088
2006,UKM3,2006,90279438
2006,UKM5,2006,60676777
2006,UKM6,2006,31955164
2006,UKN0,2006,22631268
2007,UKC1,2006,83963805
2007,UKC2,2006,96696962
2007,UKD1,2006,19695863
2007,UKD2,2006,41737806
2007,UKD3,2006,43955462
2007,UKD4,2006,11561185
2007,UKD5,2006,16204215
2007,UKE1,2006,96790389
2007,UKE2,2006,98680373
2007,UKE3,2006,76445208
2007,UKE4,2006,28364928
2007,UKF1,2006,80447666
2007,UKF2,2006,75581985
2007,UKF3,2006,5608857
2007,UKG1,2006,14422110
2007,UKG2,2006,97323123
2007,UKG3,2006,80092326
2007,UKH1,2006,95421036
2007,UKH2,2006,31340802
2007,UKH3,2006,83488733
2007,UKI1,2006,80557714
2007,UKI2,2006,34658908
2007,UKJ1,2006,23248745
2007,UKJ2,2006,87242231
2007,UKJ3,2006,90611317
2007,UKJ4,2006,42669531
2007,UKK1,2006,55133717
2007,UKK2,2006,37333964
2007,UKK3,2006,61035648
2007,UKK4,2006,37405798
2007,UKL1,2006,71876874
2007,UKL2,2006,299915
2007,UKM2,2006,93732063
2007,UKM3,2006,84035754
2007,UKM5,2006,22050796
2007,UKM6,2006,7628615
2007,UKN0,2006,64453412
2008,UKC1,2006,4537263
2008,UKC2,2006,88262457
2008,UKD1,2006,51346406
2008,UKD2,2006,58832660
2008,UKD3,2006,59289413
2008,UKD4,2006,7174716
2008,UKD5,2006,76442677
2008,UKE1,2006,60347094
2008,UKE2,2006,13874783
2008,UKE3,2006,2200632
2008,UKE4,2006,76946572
2008,UKF1,2006,82203557
2008,UKF2,2006,59769223
2008,UKF3,2006,6163492
2008,UKG1,2006,36922077
2008,UKG2,2006,96470287
2008,UKG3,2006,21374746
2008,UKH1,2006,72776267
2008,UKH2,2006,45455540
2008,UKH3,2006,34176941
2008,UKI1,2006,76437149
2008,UKI2,2006,32822908
2008,UKJ1,2006,97009235
2008,UKJ2,2006,62894851
2008,UKJ3,2006,94758106
2008,UKJ4,2006,38384088
2008,UKK1,2006,22563601
2008,UKK2,2006,18131865
2008,UKK3,2006,91733162
2008,UKK4,2006,67071409
2008,UKL1,2006,87136265
2008,UKL2,2006,53602243
2008,UKM2,2006,93139945
2008,UKM3,2006,72157205
2008,UKM5,2006,79201177
2008,UKM6,2006,31201358
2008,UKN0,2006,51954731
2009,UKC1,2006,67362440
2009,UKC2,2006,44019813
2009,UKD1,2006,61864603
2009,UKD2,2006,38156062
2009,UKD3,2006,27785321
2009,UKD4,2006,37845948
2009,UKD5,2006,25319381
2009,UKE1,2006,13334434
2009,UKE2,2006,78426251
2009,UKE3,2006,44069087
2009,UKE4,2006,28607049
2009,UKF1,2006,47524092
2009,UKF2,2006,66938217
2009,UKF3,2006,53860549
2009,UKG1,2006,47550462
2009,UKG2,2006,22858484
2009,UKG3,2006,22533530
2009,UKH1,2006,80181357
2009,UKH2,2006,89553523
2009,UKH3,2006,78914177
2009,UKI1,2006,73255616
2009,UKI2,2006,57633496
2009,UKJ1,2006,17135646
2009,UKJ2,2006,79748485
2009,UKJ3,2006,32462004
2009,UKJ4,2006,87000358
2009,UKK1,2006,64065976
2009,UKK2,2006,17648617
2009,UKK3,2006,82119936
2009,UKK4,2006,56613453
2009,UKL1,2006,83197488
2009,UKL2,2006,42819696
2009,UKM2,2006,37943487
2009,UKM3,2006,20117500
2009,UKM5,2006,14738881
2009,UKM6,2006,87355948
2009,UKN0,2006,82995634
2010,UKC1,2010,8351646
2010,UKC2,2010,66039854
2010,UKD1,2010,67917155
2010,UKD3,2010,37741777
2010,UKD4,2010,12822172
2010,UKD6,2010,30620775
2010,UKD7,2010,11125341
2010,UKE1,2010,952053
2010,UKE2,2010,37406411
2010,UKE3,2010,58237304
2010,UKE4,2010,7856995
2010,UKF1,2010,9932122
2010,UKF2,2010,37327557
2010,UKF3,2010,9640351
2010,UKG1,2010,83767968
2010,UKG2,2010,91531486
2010,UKG3,2010,70250286
2010,UKH1,2010,90195266
2010,UKH2,2010,53057865
2010,UKH3,2010,40849894
2010,UKI1,2010,87678648
2010,UKI2,2010,65375921
2010,UKJ1,2010,61732932
2010,UKJ2,2010,37637178
2010,UKJ3,2010,58830679
2010,UKJ4,2010,72362400
2010,UKK1,2010,23522344
2010,UKK2,2010,55022599
2010,UKK3,2010,79326045
2010,UKK4,2010,75278558
2010,UKL1,2010,78045230
2010,UKL2,2010,18471680
2010,UKM2,2010,31070988
2010,UKM3,2010,8716272
2010,UKM5,2010,67298708
2010,UKM6,2010,13699493
2010,UKN0,2010,97806608
2011,UKC1,2010,30929756
2011,UKC2,2010,48092269
2011,UKD1,2010,67661736
2011,UKD3,2010,75689934
2011,UKD4,2010,38826745
2011,UKD6,2010,50163146
2011,UKD7,2010,30668624
2011,UKE1,2010,61557305
2011,UKE2,2010,97040388
