year,region_type,region_year_spec,region_id,region_level,nidah
2008,NUTS,2006,AT,0,4933
2008,NUTS,2006,BE,0,755
2008,NUTS,2006,BG,0,6231
2008,NUTS,2006,CH,0,9671
2008,NUTS,2006,CY,0,1483
2008,NUTS,2006,CZ,0,2884
2008,NUTS,2006,DE,0,7795
2008,NUTS,2006,DK,0,8465
2008,NUTS,2006,EE,0,189
2008,NUTS,2006,ES,0,9752
2008,NUTS,2006,FI,0,7215
2008,NUTS,2006,FR,0,3492
2008,NUTS,2006,GR,0,5304
2008,NUTS,2006,HR,0,6086
2008,NUTS,2006,HU,0,8895
2008,NUTS,2006,IE,0,6839
2008,NUTS,2006,IS,0,7041
2008,NUTS,2006,IT,0,3307
2008,NUTS,2006,LI,0,9451
2008,NUTS,2006,LT,0,719
2008,NUTS,2006,LU,0,5588
2008,NUTS,2006,LV,0,7967
2008,NUTS,2006,ME,0,960
2008,NUTS,2006,MK,0,5810
2008,NUTS,2006,MT,0,8594
2008,NUTS,2006,NL,0,5505
2008,NUTS,2006,NO,0,1358
2008,NUTS,2006,PL,0,9856
2008,NUTS,2006,PT,0,9344
2008,NUTS,2006,RO,0,8379
2008,NUTS,2006,SE,0,304
2008,NUTS,2006,SI,0,5823
2008,NUTS,2006,SK,0,284
2008,NUTS,2006,TR,0,1009
2008,NUTS,2006,UK,0,2651
2008,NUTS,2006,AT1,1,2734
2008,NUTS,2006,AT2,1,5417
2008,NUTS,2006,AT3,1,6236
2008,NUTS,2006,BE1,1,3793
2008,NUTS,2006,BE2,1,2427
2008,NUTS,2006,BE3,1,422
2008,NUTS,2006,BG3,1,7395
2008,NUTS,2006,BG4,1,6832
2008,NUTS,2006,CH0,1,20
2008,NUTS,2006,CY0,1,814
2008,NUTS,2006,CZ0,1,1441
2008,NUTS,2006,DE1,1,5194
2008,NUTS,2006,DE2,1,3517
2008,NUTS,2006,DE3,1,292
2008,NUTS,2006,DE4,1,4373
2008,NUTS,2006,DE5,1,5436
2008,NUTS,2006,DE6,1,3185
2008,NUTS,2006,DE7,1,9245
2008,NUTS,2006,DE8,1,3971
2008,NUTS,2006,DE9,1,6666
2008,NUTS,2006,DEA,1,4779
2008,NUTS,2006,DEB,1,5804
2008,NUTS,2006,DEC,1,6000
2008,NUTS,2006,DED,1,3131
2008,NUTS,2006,DEE,1,6520
2008,NUTS,2006,DEF,1,3212
2008,NUTS,2006,DEG,1,7787
2008,NUTS,2006,DK0,1,662
2008,NUTS,2006,EE0,1,6609
2008,NUTS,2006,ES1,1,5532
2008,NUTS,2006,ES2,1,150
2008,NUTS,2006,ES3,1,1704
2008,NUTS,2006,ES4,1,1703
2008,NUTS,2006,ES5,1,3549
2008,NUTS,2006,ES6,1,9522
2008,NUTS,2006,ES7,1,6523
2008,NUTS,2006,FI1,1,4168
2008,NUTS,2006,FI2,1,4189
2008,NUTS,2006,FR1,1,3603
2008,NUTS,2006,FR2,1,4721
2008,NUTS,2006,FR3,1,877
2008,NUTS,2006,FR4,1,7059
2008,NUTS,2006,FR5,1,8450
2008,NUTS,2006,FR6,1,1041
2008,NUTS,2006,FR7,1,6200
2008,NUTS,2006,FR8,1,2176
2008,NUTS,2006,FR9,1,6560
2008,NUTS,2006,GR1,1,746
2008,NUTS,2006,GR2,1,5066
2008,NUTS,2006,GR3,1,5765
2008,NUTS,2006,GR4,1,9899
2008,NUTS,2006,HR0,1,4321
2008,NUTS,2006,HU1,1,173
2008,NUTS,2006,HU2,1,9371
2008,NUTS,2006,HU3,1,853
2008,NUTS,2006,IE0,1,2554
2008,NUTS,2006,IS0,1,2417
2008,NUTS,2006,ITC,1,6890
2008,NUTS,2006,ITD,1,2805
2008,NUTS,2006,ITE,1,8037
2008,NUTS,2006,ITF,1,9702
2008,NUTS,2006,ITG,1,160
2008,NUTS,2006,LI0,1,9025
2008,NUTS,2006,LT0,1,6139
2008,NUTS,2006,LU0,1,257
2008,NUTS,2006,LV0,1,9397
2008,NUTS,2006,ME0,1,1162
2008,NUTS,2006,MK0,1,6232
2008,NUTS,2006,MT0,1,188
2008,NUTS,2006,NL1,1,862
2008,NUTS,2006,NL2,1,8950
2008,NUTS,2006,NL3,1,7466
2008,NUTS,2006,NL4,1,6318
2008,NUTS,2006,NO0,1,3819
2008,NUTS,2006,PL1,1,104
2008,NUTS,2006,PL2,1,1552
2008,NUTS,2006,PL3,1,6502
2008,NUTS,2006,PL4,1,3154
2008,NUTS,2006,PL5,1,2950
2008,NUTS,2006,PL6,1,2953
2008,NUTS,2006,PT1,1,6507
2008,NUTS,2006,PT2,1,4679
2008,NUTS,2006,PT3,1,9975
2008,NUTS,2006,RO1,1,6685
2008,NUTS,2006,RO2,1,3209
2008,NUTS,2006,RO3,1,8767
2008,NUTS,2006,RO4,1,3711
2008,NUTS,2006,SE1,1,6322
2008,NUTS,2006,SE2,1,7401
2008,NUTS,2006,SE3,1,3143
2008,NUTS,2006,SI0,1,3477
2008,NUTS,2006,SK0,1,6806
2008,NUTS,2006,TR1,1,1463
2008,NUTS,2006,TR2,1,2513
2008,NUTS,2006,TR3,1,9083
2008,NUTS,2006,TR4,1,6408
2008,NUTS,2006,TR5,1,7750
2008,NUTS,2006,TR6,1,401
2008,NUTS,2006,TR7,1,4911
2008,NUTS,2006,TR8,1,8919
2008,NUTS,2006,TR9,1,8316
2008,NUTS,2006,TRA,1,8859
2008,NUTS,2006,TRB,1,7431
2008,NUTS,2006,TRC,1,4208
2008,NUTS,2006,UKC,1,1689
2008,NUTS,2006,UKD,1,7698
2008,NUTS,2006,UKE,1,1426
2008,NUTS,2006,UKF,1,3724
2008,NUTS,2006,UKG,1,1924
2008,NUTS,2006,UKH,1,289
2008,NUTS,2006,UKI,1,2311
2008,NUTS,2006,UKJ,1,9313
2008,NUTS,2006,UKK,1,1176
2008,NUTS,2006,UKL,1,4777
2008,NUTS,2006,UKM,1,2309
2008,NUTS,2006,UKN,1,8339
2008,NUTS,2006,AT11,2,9388
2008,NUTS,2006,AT12,2,9823
2008,NUTS,2006,AT13,2,8438
2008,NUTS,2006,AT21,2,2380
2008,NUTS,2006,AT22,2,3924
