year,region_type,region_year_spec,region_id,region_level,jekov
2008,NUTS,2006,AT,0,507027
2008,NUTS,2006,BE,0,821870
2008,NUTS,2006,BG,0,575182
2008,NUTS,2006,CH,0,543470
2008,NUTS,2006,CY,0,497468
2008,NUTS,2006,CZ,0,366252
2008,NUTS,2006,DE,0,84961
2008,NUTS,2006,DK,0,488932
2008,NUTS,2006,EE,0,293182
2008,NUTS,2006,ES,0,843009
2008,NUTS,2006,FI,0,858896
2008,NUTS,2006,FR,0,5643
2008,NUTS,2006,GR,0,799198
2008,NUTS,2006,HR,0,863766
2008,NUTS,2006,HU,0,896415
2008,NUTS,2006,IE,0,317108
2008,NUTS,2006,IS,0,289185
2008,NUTS,2006,IT,0,456256
2008,NUTS,2006,LI,0,950121
2008,NUTS,2006,LT,0,738817
2008,NUTS,2006,LU,0,195189
2008,NUTS,2006,LV,0,881370
2008,NUTS,2006,ME,0,669026
2008,NUTS,2006,MK,0,41629
2008,NUTS,2006,MT,0,116150
2008,NUTS,2006,NL,0,726161
2008,NUTS,2006,NO,0,887597
2008,NUTS,2006,PL,0,793999
2008,NUTS,2006,PT,0,453728
2008,NUTS,2006,RO,0,647948
2008,NUTS,2006,SE,0,810198
2008,NUTS,2006,SI,0,852631
2008,NUTS,2006,SK,0,298555
2008,NUTS,2006,TR,0,580673
2008,NUTS,2006,UK,0,938465
2008,NUTS,2006,AT1,1,305582
2008,NUTS,2006,AT2,1,198025
2008,NUTS,2006,AT3,1,229755
2008,NUTS,2006,BE1,1,477215
2008,NUTS,2006,BE2,1,531567
2008,NUTS,2006,BE3,1,416847
2008,NUTS,2006,BG3,1,695465
2008,NUTS,2006,BG4,1,970904
2008,NUTS,2006,CH0,1,891601
2008,NUTS,2006,CY0,1,984425
2008,NUTS,2006,CZ0,1,651956
2008,NUTS,2006,DE1,1,742453
2008,NUTS,2006,DE2,1,622403
2008,NUTS,2006,DE3,1,434448
2008,NUTS,2006,DE4,1,343699
2008,NUTS,2006,DE5,1,587380
2008,NUTS,2006,DE6,1,147641
2008,NUTS,2006,DE7,1,678903
2008,NUTS,2006,DE8,1,397289
2008,NUTS,2006,DE9,1,819510
2008,NUTS,2006,DEA,1,876201
2008,NUTS,2006,DEB,1,632718
2008,NUTS,2006,DEC,1,916783
2008,NUTS,2006,DED,1,408308
2008,NUTS,2006,DEE,1,990513
2008,NUTS,2006,DEF,1,604008
2008,NUTS,2006,DEG,1,143467
2008,NUTS,2006,DK0,1,905394
2008,NUTS,2006,EE0,1,498387
2008,NUTS,2006,ES1,1,321029
2008,NUTS,2006,ES2,1,297311
2008,NUTS,2006,ES3,1,775823
2008,NUTS,2006,ES4,1,526664
2008,NUTS,2006,ES5,1,328749
2008,NUTS,2006,ES6,1,463870
2008,NUTS,2006,ES7,1,193221
2008,NUTS,2006,FI1,1,338457
2008,NUTS,2006,FI2,1,139265
2008,NUTS,2006,FR1,1,164078
2008,NUTS,2006,FR2,1,571601
2008,NUTS,2006,FR3,1,352051
2008,NUTS,2006,FR4,1,419546
2008,NUTS,2006,FR5,1,484242
2008,NUTS,2006,FR6,1,346758
2008,NUTS,2006,FR7,1,595748
2008,NUTS,2006,FR8,1,890475
2008,NUTS,2006,FR9,1,592855
2008,NUTS,2006,GR1,1,149960
