year,region_type,region_year_spec,region_id,region_level,awwol
2006,NUTS,2006,AT,0,71664
2006,NUTS,2006,BE,0,89484
2006,NUTS,2006,BG,0,56968
2006,NUTS,2006,CH,0,593
2006,NUTS,2006,CY,0,82268
2006,NUTS,2006,CZ,0,60140
2006,NUTS,2006,DE,0,8328
2006,NUTS,2006,DK,0,10398
2006,NUTS,2006,EE,0,25604
2006,NUTS,2006,ES,0,13208
2006,NUTS,2006,FI,0,24025
2006,NUTS,2006,FR,0,40739
2006,NUTS,2006,GR,0,1770
2006,NUTS,2006,HR,0,67528
2006,NUTS,2006,HU,0,82588
2006,NUTS,2006,IE,0,16902
2006,NUTS,2006,IS,0,32836
2006,NUTS,2006,IT,0,95648
2006,NUTS,2006,LI,0,2897
2006,NUTS,2006,LT,0,26533
2006,NUTS,2006,LU,0,15166
2006,NUTS,2006,LV,0,77423
2006,NUTS,2006,ME,0,57115
2006,NUTS,2006,MK,0,50676
2006,NUTS,2006,MT,0,19946
2006,NUTS,2006,NL,0,88280
2006,NUTS,2006,NO,0,22921
2006,NUTS,2006,PL,0,13654
2006,NUTS,2006,PT,0,76472
2006,NUTS,2006,RO,0,14481
2006,NUTS,2006,SE,0,38487
2006,NUTS,2006,SI,0,76254
2006,NUTS,2006,SK,0,57687
2006,NUTS,2006,TR,0,74607
2006,NUTS,2006,UK,0,81464
2006,NUTS,2006,AT1,1,98651
2006,NUTS,2006,AT2,1,41016
2006,NUTS,2006,AT3,1,62721
2006,NUTS,2006,BE1,1,95780
2006,NUTS,2006,BE2,1,56337
2006,NUTS,2006,BE3,1,74016
2006,NUTS,2006,BG3,1,63376
2006,NUTS,2006,BG4,1,13578
2006,NUTS,2006,CH0,1,64830
2006,NUTS,2006,CY0,1,39797
2006,NUTS,2006,CZ0,1,31448
2006,NUTS,2006,DE1,1,61980
2006,NUTS,2006,DE2,1,35018
2006,NUTS,2006,DE3,1,78821
2006,NUTS,2006,DE4,1,96329
2006,NUTS,2006,DE5,1,84824
2006,NUTS,2006,DE6,1,23974
2006,NUTS,2006,DE7,1,62143
2006,NUTS,2006,DE8,1,89001
2006,NUTS,2006,DE9,1,96606
2006,NUTS,2006,DEA,1,893
2006,NUTS,2006,DEB,1,49
2006,NUTS,2006,DEC,1,32357
2006,NUTS,2006,DED,1,7815
2006,NUTS,2006,DEE,1,56725
2006,NUTS,2006,DEF,1,88288
2006,NUTS,2006,DEG,1,3058
