year,region_type,region_year_spec,region_id,region_level,awala
2008,NUTS,2006,AT,0,924
2008,NUTS,2006,BE,0,222
2008,NUTS,2006,BG,0,300
2008,NUTS,2006,CH,0,218
2008,NUTS,2006,CY,0,615
2008,NUTS,2006,CZ,0,966
2008,NUTS,2006,DE,0,34
2008,NUTS,2006,DK,0,250
2008,NUTS,2006,EE,0,566
2008,NUTS,2006,ES,0,20
2008,NUTS,2006,FI,0,608
2008,NUTS,2006,FR,0,621
2008,NUTS,2006,GR,0,315
2008,NUTS,2006,HR,0,986
2008,NUTS,2006,HU,0,738
2008,NUTS,2006,IE,0,950
2008,NUTS,2006,IS,0,609
2008,NUTS,2006,IT,0,431
2008,NUTS,2006,LI,0,872
2008,NUTS,2006,LT,0,838
2008,NUTS,2006,LU,0,101
2008,NUTS,2006,LV,0,169
2008,NUTS,2006,ME,0,538
2008,NUTS,2006,MK,0,69
2008,NUTS,2006,MT,0,984
2008,NUTS,2006,NL,0,992
2008,NUTS,2006,NO,0,907
2008,NUTS,2006,PL,0,258
2008,NUTS,2006,PT,0,626
2008,NUTS,2006,RO,0,798
2008,NUTS,2006,SE,0,642
2008,NUTS,2006,SI,0,194
2008,NUTS,2006,SK,0,199
2008,NUTS,2006,TR,0,240
2008,NUTS,2006,UK,0,404
2008,NUTS,2006,AT1,1,381
2008,NUTS,2006,AT2,1,36
2008,NUTS,2006,AT3,1,365
2008,NUTS,2006,BE1,1,621
2008,NUTS,2006,BE2,1,495
2008,NUTS,2006,BE3,1,830
2008,NUTS,2006,BG3,1,134
2008,NUTS,2006,BG4,1,15
2008,NUTS,2006,CH0,1,588
2008,NUTS,2006,CY0,1,529
2008,NUTS,2006,CZ0,1,620
2008,NUTS,2006,DE1,1,365
2008,NUTS,2006,DE2,1,313
2008,NUTS,2006,DE3,1,661
2008,NUTS,2006,DE4,1,735
2008,NUTS,2006,DE5,1,955
2008,NUTS,2006,DE6,1,856
2008,NUTS,2006,DE7,1,678
2008,NUTS,2006,DE8,1,547
2008,NUTS,2006,DE9,1,708
2008,NUTS,2006,DEA,1,504
2008,NUTS,2006,DEB,1,282
2008,NUTS,2006,DEC,1,561
2008,NUTS,2006,DED,1,291
2008,NUTS,2006,DEE,1,537
2008,NUTS,2006,DEF,1,563
2008,NUTS,2006,DEG,1,576
2008,NUTS,2006,DK0,1,767
2008,NUTS,2006,EE0,1,114
2008,NUTS,2006,ES1,1,758
2008,NUTS,2006,ES2,1,162
2008,NUTS,2006,ES3,1,362
2008,NUTS,2006,ES4,1,179
2008,NUTS,2006,ES5,1,641
2008,NUTS,2006,ES6,1,233
2008,NUTS,2006,ES7,1,127
2008,NUTS,2006,FI1,1,985
2008,NUTS,2006,FI2,1,864
2008,NUTS,2006,FR1,1,155
2008,NUTS,2006,FR2,1,876
2008,NUTS,2006,FR3,1,321
2008,NUTS,2006,FR4,1,372
2008,NUTS,2006,FR5,1,517
2008,NUTS,2006,FR6,1,578
2008,NUTS,2006,FR7,1,62
2008,NUTS,2006,FR8,1,742
2008,NUTS,2006,FR9,1,107
2008,NUTS,2006,GR1,1,727
2008,NUTS,2006,GR2,1,929
2008,NUTS,2006,GR3,1,713
2008,NUTS,2006,GR4,1,533
2008,NUTS,2006,HR0,1,459
2008,NUTS,2006,HU1,1,729
