year,region_type,region_year_spec,region_id,region_level,zaanf
2006,NUTS,2006,AT,0,87517
2006,NUTS,2006,BE,0,32183
2006,NUTS,2006,BG,0,25540
2006,NUTS,2006,CH,0,15169
2006,NUTS,2006,CY,0,22644
2006,NUTS,2006,CZ,0,45555
2006,NUTS,2006,DE,0,89138
2006,NUTS,2006,DK,0,28703
2006,NUTS,2006,EE,0,77659
2006,NUTS,2006,ES,0,86004
2006,NUTS,2006,FI,0,67859
2006,NUTS,2006,FR,0,6636
2006,NUTS,2006,GR,0,80198
2006,NUTS,2006,HR,0,15274
2006,NUTS,2006,HU,0,12229
2006,NUTS,2006,IE,0,845
2006,NUTS,2006,IS,0,85923
2006,NUTS,2006,IT,0,68805
2006,NUTS,2006,LI,0,59181
2006,NUTS,2006,LT,0,30202
2006,NUTS,2006,LU,0,51957
2006,NUTS,2006,LV,0,8380
2006,NUTS,2006,ME,0,74227
2006,NUTS,2006,MK,0,10555
2006,NUTS,2006,MT,0,37951
2006,NUTS,2006,NL,0,48384
2006,NUTS,2006,NO,0,50702
2006,NUTS,2006,PL,0,56376
2006,NUTS,2006,PT,0,54857
2006,NUTS,2006,RO,0,98442
2006,NUTS,2006,SE,0,62047
2006,NUTS,2006,SI,0,76612
2006,NUTS,2006,SK,0,7866
2006,NUTS,2006,TR,0,51654
2006,NUTS,2006,UK,0,7652
2006,NUTS,2006,AT1,1,12839
2006,NUTS,2006,AT2,1,57153
2006,NUTS,2006,AT3,1,47936
2006,NUTS,2006,BE1,1,8683
2006,NUTS,2006,BE2,1,51872
2006,NUTS,2006,BE3,1,76173
2006,NUTS,2006,BG3,1,73068
2006,NUTS,2006,BG4,1,32149
2006,NUTS,2006,CH0,1,49508
2006,NUTS,2006,CY0,1,62283
2006,NUTS,2006,CZ0,1,45557
2006,NUTS,2006,DE1,1,86731
2006,NUTS,2006,DE2,1,20574
2006,NUTS,2006,DE3,1,37227
2006,NUTS,2006,DE4,1,90102
2006,NUTS,2006,DE5,1,84434
2006,NUTS,2006,DE6,1,21346
2006,NUTS,2006,DE7,1,20727
2006,NUTS,2006,DE8,1,66029
