year,nuts_id,nuts_year_spec,jiduh
2009,UKC1,2006,735495
2009,UKC2,2006,82213
2009,UKD1,2006,278415
2009,UKD2,2006,996309
2009,UKD3,2006,897714
2009,UKD4,2006,39284
2009,UKD5,2006,738988
2009,UKE1,2006,7062
2009,UKE2,2006,878071
2009,UKE3,2006,132430
2009,UKE4,2006,705209
2009,UKF1,2006,282717
2009,UKF2,2006,858780
2009,UKF3,2006,185292
2009,UKG1,2006,402318
2009,UKG2,2006,92949
2009,UKG3,2006,476159
2009,UKH1,2006,747643
2009,UKH2,2006,245057
2009,UKH3,2006,139480
2009,UKI1,2006,100328
2009,UKI2,2006,942302
2009,UKJ1,2006,562384
2009,UKJ2,2006,67517
2009,UKJ3,2006,420037
2009,UKJ4,2006,325962
2009,UKK1,2006,190233
2009,UKK2,2006,838982
2009,UKK3,2006,386951
2009,UKK4,2006,209115
2009,UKL1,2006,433165
2009,UKL2,2006,501202
2009,UKM2,2006,887896
2009,UKM3,2006,764047
2009,UKM5,2006,906243
2009,UKM6,2006,831128
2009,UKN0,2006,573799
2010,UKC1,2010,613005
2010,UKC2,2010,484284
2010,UKD1,2010,966356
2010,UKD3,2010,491259
2010,UKD4,2010,602373
2010,UKD6,2010,105116
2010,UKD7,2010,805039
2010,UKE1,2010,925512
2010,UKE2,2010,785048
2010,UKE3,2010,385282
2010,UKE4,2010,42628
2010,UKF1,2010,148223
2010,UKF2,2010,339907
2010,UKF3,2010,241923
2010,UKG1,2010,332190
2010,UKG2,2010,352199
2010,UKG3,2010,902970
2010,UKH1,2010,735608
2010,UKH2,2010,318432
2010,UKH3,2010,70796
2010,UKI1,2010,449430
2010,UKI2,2010,800677
2010,UKJ1,2010,356341
2010,UKJ2,2010,122174
2010,UKJ3,2010,43179
2010,UKJ4,2010,356824
2010,UKK1,2010,62253
2010,UKK2,2010,682586
2010,UKK3,2010,916504
2010,UKK4,2010,551806
2010,UKL1,2010,581391
2010,UKL2,2010,488054
2010,UKM2,2010,992384
2010,UKM3,2010,758003
2010,UKM5,2010,837889
2010,UKM6,2010,588127
2010,UKN0,2010,371609
2011,UKC1,2010,391795
2011,UKC2,2010,642639
2011,UKD1,2010,37130
2011,UKD3,2010,398658
2011,UKD4,2010,855439
2011,UKD6,2010,23054
2011,UKD7,2010,431475
2011,UKE1,2010,799419
2011,UKE2,2010,845386
2011,UKE3,2010,69285
2011,UKE4,2010,107632
2011,UKF1,2010,436150
2011,UKF2,2010,959987
2011,UKF3,2010,371148
2011,UKG1,2010,479240
2011,UKG2,2010,9415
2011,UKG3,2010,673060
2011,UKH1,2010,437262
2011,UKH2,2010,335397
2011,UKH3,2010,953827
2011,UKI1,2010,378171
2011,UKI2,2010,774045
2011,UKJ1,2010,838991
2011,UKJ2,2010,130159
2011,UKJ3,2010,753020
2011,UKJ4,2010,287349
2011,UKK1,2010,593074
2011,UKK2,2010,347971
2011,UKK3,2010,939086
2011,UKK4,2010,438731
2011,UKL1,2010,683883
2011,UKL2,2010,768829
2011,UKM2,2010,870175
2011,UKM3,2010,468642
2011,UKM5,2010,130043
2011,UKM6,2010,509467
2011,UKN0,2010,559087
2012,UKC1,2010,629583
2012,UKC2,2010,585035
2012,UKD1,2010,704934
2012,UKD3,2010,970880
2012,UKD4,2010,885373
2012,UKD6,2010,431284
2012,UKD7,2010,89482
2012,UKE1,2010,275930
2012,UKE2,2010,816604
2012,UKE3,2010,92004
2012,UKE4,2010,55702
2012,UKF1,2010,344176
2012,UKF2,2010,149738
2012,UKF3,2010,278150
2012,UKG1,2010,644770
2012,UKG2,2010,351179
2012,UKG3,2010,575991
2012,UKH1,2010,741181
2012,UKH2,2010,576911
2012,UKH3,2010,663710
2012,UKI1,2010,901097
2012,UKI2,2010,271824
2012,UKJ1,2010,834584
2012,UKJ2,2010,43883
2012,UKJ3,2010,798181
2012,UKJ4,2010,310599
2012,UKK1,2010,250945
2012,UKK2,2010,677077
2012,UKK3,2010,218296
2012,UKK4,2010,965621
2012,UKL1,2010,999505
2012,UKL2,2010,479512
2012,UKM2,2010,54529
2012,UKM3,2010,344573
2012,UKM5,2010,312688
2012,UKM6,2010,694949
2012,UKN0,2010,454089
