year,region_type,region_year_spec,region_id,region_level,vufit
2010,NUTS,2010,AT,0,333
2010,NUTS,2010,BE,0,218
2010,NUTS,2010,BG,0,771
2010,NUTS,2010,CH,0,191
2010,NUTS,2010,CY,0,354
2010,NUTS,2010,CZ,0,988
2010,NUTS,2010,DE,0,475
2010,NUTS,2010,DK,0,725
2010,NUTS,2010,EE,0,672
2010,NUTS,2010,EL,0,661
2010,NUTS,2010,ES,0,199
2010,NUTS,2010,FI,0,30
2010,NUTS,2010,FR,0,340
2010,NUTS,2010,HR,0,120
2010,NUTS,2010,HU,0,9
2010,NUTS,2010,IE,0,3
2010,NUTS,2010,IS,0,495
2010,NUTS,2010,IT,0,317
2010,NUTS,2010,LI,0,811
2010,NUTS,2010,LT,0,246
2010,NUTS,2010,LU,0,723
2010,NUTS,2010,LV,0,163
2010,NUTS,2010,ME,0,646
2010,NUTS,2010,MK,0,644
2010,NUTS,2010,MT,0,475
2010,NUTS,2010,NL,0,904
2010,NUTS,2010,NO,0,73
2010,NUTS,2010,PL,0,324
2010,NUTS,2010,PT,0,604
2010,NUTS,2010,RO,0,812
2010,NUTS,2010,SE,0,864
2010,NUTS,2010,SI,0,328
2010,NUTS,2010,SK,0,963
2010,NUTS,2010,TR,0,329
2010,NUTS,2010,UK,0,97
2010,NUTS,2010,AT1,1,904
2010,NUTS,2010,AT2,1,928
2010,NUTS,2010,AT3,1,625
2010,NUTS,2010,BE1,1,612
2010,NUTS,2010,BE2,1,933
2010,NUTS,2010,BE3,1,690
2010,NUTS,2010,BG3,1,127
2010,NUTS,2010,BG4,1,190
2010,NUTS,2010,CH0,1,583
2010,NUTS,2010,CY0,1,679
2010,NUTS,2010,CZ0,1,635
2010,NUTS,2010,DE1,1,562
2010,NUTS,2010,DE2,1,3
2010,NUTS,2010,DE3,1,617
2010,NUTS,2010,DE4,1,372
2010,NUTS,2010,DE5,1,337
2010,NUTS,2010,DE6,1,776
2010,NUTS,2010,DE7,1,337
2010,NUTS,2010,DE8,1,168
2010,NUTS,2010,DE9,1,995
2010,NUTS,2010,DEA,1,318
2010,NUTS,2010,DEB,1,683
2010,NUTS,2010,DEC,1,853
2010,NUTS,2010,DED,1,770
2010,NUTS,2010,DEE,1,388
2010,NUTS,2010,DEF,1,413
2010,NUTS,2010,DEG,1,712
2010,NUTS,2010,DK0,1,357
2010,NUTS,2010,EE0,1,633
2010,NUTS,2010,EL1,1,341
2010,NUTS,2010,EL2,1,194
2010,NUTS,2010,EL3,1,267
2010,NUTS,2010,EL4,1,409
2010,NUTS,2010,ES1,1,376
2010,NUTS,2010,ES2,1,728
2010,NUTS,2010,ES3,1,474
2010,NUTS,2010,ES4,1,995
2010,NUTS,2010,ES5,1,33
2010,NUTS,2010,ES6,1,650
2010,NUTS,2010,ES7,1,329
2010,NUTS,2010,FI1,1,705
2010,NUTS,2010,FI2,1,189
2010,NUTS,2010,FR1,1,272
2010,NUTS,2010,FR2,1,769
2010,NUTS,2010,FR3,1,446
2010,NUTS,2010,FR4,1,308
2010,NUTS,2010,FR5,1,502
2010,NUTS,2010,FR6,1,561
2010,NUTS,2010,FR7,1,727
2010,NUTS,2010,FR8,1,990
2010,NUTS,2010,FR9,1,742
2010,NUTS,2010,HR0,1,955
2010,NUTS,2010,HU1,1,516
2010,NUTS,2010,HU2,1,903
2010,NUTS,2010,HU3,1,610
2010,NUTS,2010,IE0,1,512
2010,NUTS,2010,IS0,1,426
2010,NUTS,2010,ITC,1,597
2010,NUTS,2010,ITF,1,354
2010,NUTS,2010,ITG,1,497
2010,NUTS,2010,ITH,1,229
2010,NUTS,2010,ITI,1,224
2010,NUTS,2010,LI0,1,966
2010,NUTS,2010,LT0,1,140
2010,NUTS,2010,LU0,1,744
2010,NUTS,2010,LV0,1,379
2010,NUTS,2010,ME0,1,206
2010,NUTS,2010,MK0,1,408
2010,NUTS,2010,MT0,1,920
2010,NUTS,2010,NL1,1,876
2010,NUTS,2010,NL2,1,11
2010,NUTS,2010,NL3,1,793
2010,NUTS,2010,NL4,1,791
2010,NUTS,2010,NO0,1,840
2010,NUTS,2010,N_A,1,173
2010,NUTS,2010,PL1,1,604
2010,NUTS,2010,PL2,1,199
2010,NUTS,2010,PL3,1,952
2010,NUTS,2010,PL4,1,980
2010,NUTS,2010,PL5,1,682
2010,NUTS,2010,PL6,1,907
2010,NUTS,2010,PT1,1,739
2010,NUTS,2010,PT2,1,871
2010,NUTS,2010,PT3,1,2
2010,NUTS,2010,RO1,1,525
2010,NUTS,2010,RO2,1,691
2010,NUTS,2010,RO3,1,40
2010,NUTS,2010,RO4,1,261
2010,NUTS,2010,SE1,1,190
2010,NUTS,2010,SE2,1,123
2010,NUTS,2010,SE3,1,580
2010,NUTS,2010,SI0,1,84
2010,NUTS,2010,SK0,1,458
2010,NUTS,2010,TR1,1,749
2010,NUTS,2010,TR2,1,380
2010,NUTS,2010,TR3,1,192
2010,NUTS,2010,TR4,1,386
2010,NUTS,2010,TR5,1,356
2010,NUTS,2010,TR6,1,989
2010,NUTS,2010,TR7,1,940
2010,NUTS,2010,TR8,1,288
2010,NUTS,2010,TR9,1,792
2010,NUTS,2010,TRA,1,758
2010,NUTS,2010,TRB,1,84
2010,NUTS,2010,TRC,1,511
2010,NUTS,2010,UKC,1,843
