year,region_type,region_year_spec,region_id,region_level,woffa
2008,NUTS,2006,AT,0,222
2008,NUTS,2006,BE,0,734
2008,NUTS,2006,BG,0,134
2008,NUTS,2006,CH,0,214
2008,NUTS,2006,CY,0,455
2008,NUTS,2006,CZ,0,50
2008,NUTS,2006,DE,0,581
2008,NUTS,2006,DK,0,480
2008,NUTS,2006,EE,0,941
2008,NUTS,2006,ES,0,557
2008,NUTS,2006,FI,0,282
2008,NUTS,2006,FR,0,770
2008,NUTS,2006,GR,0,260
2008,NUTS,2006,HR,0,587
2008,NUTS,2006,HU,0,438
2008,NUTS,2006,IE,0,615
2008,NUTS,2006,IS,0,908
2008,NUTS,2006,IT,0,661
2008,NUTS,2006,LI,0,486
2008,NUTS,2006,LT,0,9
2008,NUTS,2006,LU,0,936
2008,NUTS,2006,LV,0,33
2008,NUTS,2006,ME,0,645
2008,NUTS,2006,MK,0,203
2008,NUTS,2006,MT,0,239
2008,NUTS,2006,NL,0,663
2008,NUTS,2006,NO,0,663
2008,NUTS,2006,PL,0,379
2008,NUTS,2006,PT,0,228
2008,NUTS,2006,RO,0,748
2008,NUTS,2006,SE,0,645
2008,NUTS,2006,SI,0,651
2008,NUTS,2006,SK,0,178
2008,NUTS,2006,TR,0,638
2008,NUTS,2006,UK,0,181
2008,NUTS,2006,AT1,1,793
2008,NUTS,2006,AT2,1,402
2008,NUTS,2006,AT3,1,586
2008,NUTS,2006,BE1,1,231
2008,NUTS,2006,BE2,1,899
2008,NUTS,2006,BE3,1,901
2008,NUTS,2006,BG3,1,519
2008,NUTS,2006,BG4,1,517
2008,NUTS,2006,CH0,1,447
2008,NUTS,2006,CY0,1,81
2008,NUTS,2006,CZ0,1,351
2008,NUTS,2006,DE1,1,573
2008,NUTS,2006,DE2,1,880
2008,NUTS,2006,DE3,1,445
2008,NUTS,2006,DE4,1,558
2008,NUTS,2006,DE5,1,977
2008,NUTS,2006,DE6,1,61
2008,NUTS,2006,DE7,1,379
2008,NUTS,2006,DE8,1,726
2008,NUTS,2006,DE9,1,161
2008,NUTS,2006,DEA,1,125
2008,NUTS,2006,DEB,1,689
2008,NUTS,2006,DEC,1,781
2008,NUTS,2006,DED,1,731
2008,NUTS,2006,DEE,1,446
