year,region_type,region_year_spec,region_id,region_level,novsa
2007,NUTS,2006,AT,0,9
2007,NUTS,2006,BE,0,0
2007,NUTS,2006,BG,0,10
2007,NUTS,2006,CH,0,9
2007,NUTS,2006,CY,0,0
2007,NUTS,2006,CZ,0,10
2007,NUTS,2006,DE,0,6
2007,NUTS,2006,DK,0,0
2007,NUTS,2006,EE,0,4
2007,NUTS,2006,ES,0,9
2007,NUTS,2006,FI,0,2
2007,NUTS,2006,FR,0,9
2007,NUTS,2006,GR,0,1
2007,NUTS,2006,HR,0,10
2007,NUTS,2006,HU,0,6
2007,NUTS,2006,IE,0,7
2007,NUTS,2006,IS,0,8
2007,NUTS,2006,IT,0,3
2007,NUTS,2006,LI,0,5
2007,NUTS,2006,LT,0,4
2007,NUTS,2006,LU,0,6
2007,NUTS,2006,LV,0,0
2007,NUTS,2006,ME,0,10
2007,NUTS,2006,MK,0,4
2007,NUTS,2006,MT,0,0
2007,NUTS,2006,NL,0,7
2007,NUTS,2006,NO,0,9
2007,NUTS,2006,PL,0,5
2007,NUTS,2006,PT,0,6
2007,NUTS,2006,RO,0,8
2007,NUTS,2006,SE,0,8
2007,NUTS,2006,SI,0,10
2007,NUTS,2006,SK,0,6
2007,NUTS,2006,TR,0,1
2007,NUTS,2006,UK,0,8
2007,NUTS,2006,AT1,1,1
2007,NUTS,2006,AT2,1,4
2007,NUTS,2006,AT3,1,9
2007,NUTS,2006,BE1,1,2
2007,NUTS,2006,BE2,1,8
2007,NUTS,2006,BE3,1,9
2007,NUTS,2006,BG3,1,0
2007,NUTS,2006,BG4,1,1
2007,NUTS,2006,CH0,1,5
2007,NUTS,2006,CY0,1,10
2007,NUTS,2006,CZ0,1,2
2007,NUTS,2006,DE1,1,0
2007,NUTS,2006,DE2,1,10
2007,NUTS,2006,DE3,1,10
2007,NUTS,2006,DE4,1,4
2007,NUTS,2006,DE5,1,5
2007,NUTS,2006,DE6,1,1
2007,NUTS,2006,DE7,1,3
2007,NUTS,2006,DE8,1,8
2007,NUTS,2006,DE9,1,4
2007,NUTS,2006,DEA,1,0
2007,NUTS,2006,DEB,1,2
2007,NUTS,2006,DEC,1,8
2007,NUTS,2006,DED,1,0
2007,NUTS,2006,DEE,1,6
2007,NUTS,2006,DEF,1,8
2007,NUTS,2006,DEG,1,5
2007,NUTS,2006,DK0,1,9
2007,NUTS,2006,EE0,1,1
2007,NUTS,2006,ES1,1,8
2007,NUTS,2006,ES2,1,6
2007,NUTS,2006,ES3,1,8
2007,NUTS,2006,ES4,1,4
2007,NUTS,2006,ES5,1,0
2007,NUTS,2006,ES6,1,2
2007,NUTS,2006,ES7,1,8
2007,NUTS,2006,FI1,1,3
2007,NUTS,2006,FI2,1,4
